t_list,x_list,v_list,v0_scn,v0_scn_mean,n_scn,N. file,iter,DOE,processed
"[16.16, 16.21, 16.259999999999998, 16.31, 16.36, 16.41, 16.46, 16.509999999999998, 16.56, 16.61, 16.66, 16.71, 16.76]","[array([ 79.56038552,  81.18815327,  82.81592102,  84.44368878,
        86.07145653,  87.95070439,  89.82995224,  91.7092001 ,
        93.58844795,  95.50206757,  97.41568718,  99.3293068 ,
       101.24292641]), array([103.41296384, 104.60963399, 105.80630415, 107.0029743 ,
       108.19964445, 109.6402622 , 111.08087995, 112.5214977 ,
       113.96211546, 115.10161102, 116.24110658, 117.38060215,
       118.52009771]), array([120.70449223, 122.20449223, 123.70449223, 125.20449223,
       126.70449223, 128.20449223, 129.70449223, 131.20449223,
       132.70449223, 134.20449223, 135.70449223, 137.20449223,
       138.70449223])]","[[32.555355072021484, 23.93340301513672, 30.0], [37.584957122802734, 28.812355041503906, 30.0], [38.27239227294922, 22.7899112701416, 30.0]]",[30],30.0,0,3,1,"[1, 2, 1]",post
"[17.56, 17.61, 17.66, 17.71, 17.76, 17.810000000000002, 17.86, 17.91, 17.96]","[array([47.71833773, 48.72258311, 49.72682849, 50.73107386, 51.73531924,
       52.2463503 , 52.75738135, 53.26841241, 53.77944346]), array([63.24480263, 67.09420982, 70.94361702, 74.79302421, 78.64243141,
       80.51376224, 82.38509308, 84.25642391, 86.12775474]), array([125.48716658, 126.98716658, 128.48716658, 129.98716658,
       131.48716658, 132.98716658, 134.48716658, 135.98716658,
       137.48716658])]","[[20.08490753173828, 76.98814392089844, 30.0], [10.220621109008789, 37.42661666870117, 30.0]]",[30],30.0,1,3,1,"[1, 2, 1]",post
"[23.96, 24.01, 24.060000000000002, 24.11, 24.16, 24.21, 24.259999999999998, 24.31, 24.36, 24.41, 24.46, 24.51, 24.560000000000002, 24.610000000000003, 24.660000000000004, 24.71, 24.76]","[array([63.62283422, 63.82659823, 64.03036224, 64.23412624, 64.43789025,
       64.71280233, 64.9877144 , 65.26262647, 65.53753854, 65.61145331,
       65.68536807, 65.75928284, 65.8331976 , 66.02969793, 66.22619825,
       66.42269858, 66.61919891]), array([69.18287647, 70.0171747 , 70.85147293, 71.68577115, 72.52006938,
       74.32802074, 76.13597209, 77.94392345, 79.7518748 , 80.56671979,
       81.38156478, 82.19640977, 83.01125476, 84.35119922, 85.69114368,
       87.03108814, 88.37103259]), array([ 96.78974958,  98.28974958,  99.78974958, 101.28974958,
       102.78974958, 104.28974958, 105.78974958, 107.28974958,
       108.78974958, 110.28974958, 111.78974958, 113.28974958,
       114.78974958, 116.28974958, 117.78974958, 119.28974958,
       120.78974958])]","[[4.07528018951416, 16.685964584350586, 30.0], [5.498241424560547, 36.159027099609375, 30.0], [1.4782953262329102, 16.296899795532227, 30.0], [3.930006504058838, 26.79888916015625, 30.0]]",[30],30.0,2,3,1,"[1, 2, 1]",post
"[42.96, 43.010000000000005, 43.06, 43.11, 43.160000000000004, 43.21, 43.260000000000005, 43.31, 43.36, 43.41, 43.46, 43.510000000000005, 43.56, 43.61, 43.660000000000004, 43.71000000000001, 43.760000000000005]","[array([68.61775485, 69.42411357, 70.23047229, 71.036831  , 71.84318972,
       72.76631375, 73.68943778, 74.61256181, 75.53568583, 76.75373688,
       77.97178794, 79.18983899, 80.40789004, 81.65311843, 82.89834681,
       84.1435752 , 85.38880358]), array([84.01468528, 84.62465189, 85.2346185 , 85.84458511, 86.45455172,
       87.12373684, 87.79292195, 88.46210707, 89.13129218, 89.43644855,
       89.74160493, 90.0467613 , 90.35191768, 90.79618285, 91.24044802,
       91.6847132 , 92.12897837]), array([ 95.37627021,  96.87627021,  98.37627021,  99.87627021,
       101.37627021, 102.87627021, 104.37627021, 105.87627021,
       107.37627021, 108.87627021, 110.37627021, 111.87627021,
       113.37627021, 114.87627021, 116.37627021, 117.87627021,
       119.37627021])]","[[16.127174377441406, 12.199332237243652, 30.0], [18.462480545043945, 13.383702278137207, 30.0], [24.361021041870117, 6.103127479553223, 30.0], [24.90456771850586, 8.885303497314453, 30.0]]",[30],30.0,3,3,1,"[1, 2, 1]",post
"[61.760000000000005, 61.81, 61.86, 61.910000000000004, 61.96, 62.010000000000005, 62.06, 62.11, 62.160000000000004]","[array([103.54531454, 104.23740524, 104.92949594, 105.62158664,
       106.31367734, 106.81784371, 107.32201007, 107.82617644,
       108.3303428 ]), array([113.66331947, 114.25276315, 114.84220683, 115.43165052,
       116.0210942 , 117.19301002, 118.36492584, 119.53684165,
       120.70875747]), array([122.12853743, 123.62853743, 125.12853743, 126.62853743,
       128.12853743, 129.62853743, 131.12853743, 132.62853743,
       134.12853743])]","[[13.841814041137695, 11.788873672485352, 30.0], [10.083327293395996, 23.438316345214844, 30.0]]",[30],30.0,4,3,1,"[1, 2, 1]",post
"[63.760000000000005, 63.81, 63.86, 63.910000000000004, 63.96, 64.01, 64.06, 64.11000000000001, 64.16000000000001]","[array([ 85.75723668,  91.09784604,  96.4384554 , 101.77906476,
       107.11967412, 110.69796582, 114.27625752, 117.85454923,
       121.43284093]), array([125.38086993, 128.16451289, 130.94815585, 133.73179881,
       136.51544177, 138.62607218, 140.7367026 , 142.84733302,
       144.95796343]), array([145.69368106, 147.19368106, 148.69368106, 150.19368106,
       151.69368106, 153.19368106, 154.69368106, 156.19368106,
       157.69368106])]","[[106.81218719482422, 55.67285919189453, 30.0], [71.56583404541016, 42.212608337402344, 30.0]]",[30],30.0,5,3,1,"[1, 2, 1]",post
"[67.16, 67.21, 67.25999999999999, 67.31, 67.36, 67.41, 67.46000000000001, 67.51, 67.56, 67.61, 67.66, 67.71000000000001, 67.76]","[array([37.93351752, 41.21430709, 44.49509666, 47.77588622, 51.05667579,
       51.06435874, 51.07204169, 51.07972465, 51.0874076 , 51.17481145,
       51.2622153 , 51.34961915, 51.43702301]), array([80.13248877, 81.82047286, 83.50845694, 85.19644103, 86.88442511,
       86.89844377, 86.91246243, 86.92648109, 86.94049975, 87.00140324,
       87.06230673, 87.12321022, 87.18411371]), array([101.37755007, 102.87755007, 104.37755007, 105.87755007,
       107.37755007, 108.87755007, 110.37755007, 111.87755007,
       113.37755007, 114.87755007, 116.37755007, 117.87755007,
       119.37755007])]","[[65.61579132080078, 33.759681701660156, 30.0], [0.15365904569625854, 0.2803731858730316, 30.0], [1.7480770349502563, 1.2180697917938232, 30.0]]",[30],30.0,6,3,1,"[1, 2, 1]",post
"[72.76, 72.81, 72.86000000000001, 72.91000000000001, 72.96000000000001, 73.01, 73.06, 73.11, 73.16, 73.21, 73.25999999999999, 73.31, 73.36, 73.41, 73.46000000000001, 73.51, 73.56, 73.61, 73.66, 73.71000000000001, 73.76, 73.81, 73.86000000000001, 73.91000000000001, 73.96000000000001, 74.01, 74.06, 74.11, 74.16]","[array([49.09392642, 49.33510915, 49.57629188, 49.81747461, 50.05865735,
       50.36995605, 50.68125475, 50.99255346, 51.30385216, 51.68665479,
       52.06945742, 52.45226005, 52.83506268, 53.28133186, 53.72760104,
       54.17387022, 54.62013939, 55.17011179, 55.72008418, 56.27005657,
       56.82002896, 57.42212313, 58.02421731, 58.62631148, 59.22840565,
       59.87320756, 60.51800946, 61.16281136, 61.80761326]), array([79.35639564, 79.50672656, 79.65705747, 79.80738838, 79.9577193 ,
       80.12864799, 80.29957668, 80.47050537, 80.64143407, 80.82960528,
       81.01777648, 81.20594769, 81.3941189 , 81.59743773, 81.80075657,
       82.0040754 , 82.20739424, 82.42646577, 82.6455373 , 82.86460883,
       83.08368036, 83.42963659, 83.77559282, 84.12154905, 84.46750528,
       84.82241811, 85.17733094, 85.53224377, 85.8871566 ]), array([ 96.94022185,  98.44022185,  99.94022185, 101.44022185,
       102.94022185, 104.44022185, 105.94022185, 107.44022185,
       108.94022185, 110.44022185, 111.94022185, 113.44022185,
       114.94022185, 116.44022185, 117.94022185, 119.44022185,
       120.94022185, 122.44022185, 123.94022185, 125.44022185,
       126.94022185, 128.44022185, 129.94022185, 131.44022185,
       132.94022185, 134.44022185, 135.94022185, 137.44022185,
       138.94022185])]","[[4.823654651641846, 3.0066182613372803, 30.0], [6.225974082946777, 3.4185738563537598, 30.0], [7.656052589416504, 3.7634241580963135, 30.0], [8.925383567810059, 4.066376686096191, 30.0], [10.9994478225708, 4.381430625915527, 30.0], [12.04188346862793, 6.919124603271484, 30.0], [12.896038055419922, 7.098256587982178, 30.0]]",[30],30.0,7,3,1,"[1, 2, 1]",post
"[82.16000000000001, 82.21000000000001, 82.26, 82.31, 82.36, 82.41, 82.46000000000001, 82.51, 82.56, 82.61, 82.66, 82.71000000000001, 82.76]","[array([86.79107503, 87.09221565, 87.39335627, 87.69449689, 87.9956375 ,
       88.65131849, 89.30699948, 89.96268047, 90.61836146, 91.94101924,
       93.26367702, 94.58633479, 95.90899257]), array([ 98.01889827,  98.59733159,  99.17576492,  99.75419824,
       100.33263156, 101.93397357, 103.53531558, 105.13665759,
       106.73799961, 108.5854079 , 110.43281619, 112.28022449,
       114.12763278]), array([121.14661071, 122.64661071, 124.14661071, 125.64661071,
       127.14661071, 128.64661071, 130.14661071, 131.64661071,
       133.14661071, 134.64661071, 136.14661071, 137.64661071,
       139.14661071])]","[[6.022812366485596, 11.568666458129883, 30.0], [13.113619804382324, 32.02684020996094, 30.0], [26.453155517578125, 36.94816589355469, 30.0]]",[30],30.0,8,3,1,"[1, 2, 1]",post
"[86.16000000000001, 86.21000000000001, 86.26, 86.31, 86.36, 86.41, 86.46000000000001, 86.51, 86.56, 86.61, 86.66, 86.71000000000001, 86.76]","[array([ 86.36255019,  88.9251324 ,  91.4877146 ,  94.05029681,
        96.61287902,  98.82171767, 101.03055632, 103.23939498,
       105.44823363, 107.64586718, 109.84350074, 112.04113429,
       114.23876784]), array([118.2377992 , 123.70680097, 129.17580274, 134.64480451,
       140.11380628, 144.87993901, 149.64607175, 154.41220449,
       159.17833722, 163.74476789, 168.31119855, 172.87762922,
       177.44405988]), array([187.31693584, 188.81693584, 190.31693584, 191.81693584,
       193.31693584, 194.81693584, 196.31693584, 197.81693584,
       199.31693584, 200.81693584, 202.31693584, 203.81693584,
       205.31693584])]","[[51.251644134521484, 109.38003540039062, 30.0], [44.17677307128906, 95.3226547241211, 30.0], [43.95267105102539, 91.32861328125, 30.0]]",[30],30.0,9,3,1,"[1, 2, 1]",post
