t_list,x_list,v_list,v0_scn,v0_scn_mean,n_scn,N. file,iter,DOE,processed
"[36.44, 36.489999999999995, 36.54, 36.59, 36.64, 36.69, 36.74, 36.790000000000006, 36.84, 36.89, 36.94, 36.99, 37.04]","[array([30.03133363, 30.10117179, 30.17100995, 30.24084811, 30.31068627,
       30.36289217, 30.41509806, 30.46730396, 30.51950985, 30.54095623,
       30.56240261, 30.58384899, 30.60529536]), array([35.18261507, 35.73777964, 36.29294422, 36.84810879, 37.40327337,
       38.0662627 , 38.72925203, 39.39224136, 40.05523069, 40.78028   ,
       41.5053293 , 42.23037861, 42.95542791]), array([69.58134328, 70.99990864, 72.418474  , 73.83703936, 75.25560472,
       76.67417009, 78.09273545, 79.51130081, 80.92986617, 82.34843153,
       83.7669969 , 85.18556226, 86.60412762])]","[[1.3967632055282593, 11.103291511535645, 28.37130723735621], [1.0441179275512695, 13.259786605834961, 28.37130723735621], [0.42892754077911377, 14.500986099243164, 28.37130723735621]]","[30, 29.571893178561087, 29.1580565845035, 28.758014543581154, 28.37130723735621]",29.17185430880039,0,8,5,"[1, 2, 1]",post
"[50.24, 50.290000000000006, 50.34, 50.39, 50.440000000000005, 50.49, 50.540000000000006, 50.59, 50.64, 50.69, 50.74, 50.790000000000006, 50.84, 50.89, 50.94, 50.99, 51.04]","[array([37.29949592, 37.42283054, 37.54616516, 37.66949979, 37.79283441,
       37.91550951, 38.0381846 , 38.1608597 , 38.2835348 , 38.41726056,
       38.55098632, 38.68471208, 38.81843785, 38.95258462, 39.08673139,
       39.22087817, 39.35502494]), array([43.13368486, 43.7779229 , 44.42216094, 45.06639898, 45.71063703,
       46.41037286, 47.11010869, 47.80984452, 48.50958036, 49.32043746,
       50.13129457, 50.94215167, 51.75300878, 52.65492604, 53.55684331,
       54.45876058, 55.36067784]), array([70.19815867, 71.69915835, 73.20015803, 74.7011577 , 76.20215738,
       77.70315706, 79.20415674, 80.70515641, 82.20615609, 83.70715577,
       85.20815545, 86.70915513, 88.2101548 , 89.71115448, 91.21215416,
       92.71315384, 94.21415351])]","[[2.4666924476623535, 12.884760856628418, 30.019993553491638], [2.4535019397735596, 13.99471664428711, 30.019993553491638], [2.6745152473449707, 16.21714210510254, 30.019993553491638], [2.6829354763031006, 18.038345336914062, 30.019993553491638]]","[30, 30.005255366040114, 30.010335553212233, 30.015246400811936, 30.019993553491638]",30.010166174711184,1,8,5,"[1, 2, 1]",post
"[102.24000000000001, 102.29, 102.34, 102.39000000000001, 102.44000000000001, 102.49000000000001, 102.54000000000002, 102.59000000000002, 102.64000000000001, 102.69000000000001, 102.74000000000001, 102.79000000000002, 102.84000000000002, 102.89000000000001, 102.94000000000001, 102.99000000000001, 103.04]","[array([44.34172903, 44.96709095, 45.59245286, 46.21781478, 46.8431767 ,
       47.44198595, 48.04079519, 48.63960443, 49.23841367, 49.62284174,
       50.00726982, 50.39169789, 50.77612596, 51.18561831, 51.59511066,
       52.00460301, 52.41409536]), array([53.47732555, 54.23039495, 54.98346435, 55.73653375, 56.48960315,
       57.72726261, 58.96492206, 60.20258152, 61.44024097, 62.73845531,
       64.03666965, 65.33488399, 66.63309833, 68.03242275, 69.43174717,
       70.83107158, 72.230396  ]), array([64.39488833, 65.90343742, 67.41198651, 68.9205356 , 70.42908468,
       71.93763377, 73.44618286, 74.95473194, 76.46328103, 77.97183012,
       79.48037921, 80.98892829, 82.49747738, 84.00602647, 85.51457555,
       87.02312464, 88.53167373])]","[[12.507238388061523, 15.06138801574707, 30.170981741315355], [11.976184844970703, 24.753189086914062, 30.170981741315355], [7.68856143951416, 25.96428680419922, 30.170981741315355], [8.189846992492676, 27.986488342285156, 30.170981741315355]]","[30, 30.044943068132586, 30.08838803399414, 30.130384834326964, 30.170981741315355]",30.086939535553807,2,8,5,"[1, 2, 1]",post
"[108.84000000000002, 108.89000000000001, 108.94000000000001, 108.99000000000001, 109.04, 109.09, 109.14000000000001, 109.19000000000001, 109.24000000000001, 109.29, 109.34, 109.39000000000001, 109.44000000000001]","[array([54.84994721, 55.1399698 , 55.42999239, 55.72001498, 56.01003756,
       56.44982633, 56.8896151 , 57.32940388, 57.76919265, 58.35829096,
       58.94738927, 59.53648758, 60.12558589]), array([58.56445969, 59.69130095, 60.81814221, 61.94498347, 63.07182473,
       64.11663407, 65.16144341, 66.20625275, 67.25106209, 68.20540961,
       69.15975712, 70.11410464, 71.06845215]), array([72.09558373, 73.53565807, 74.9757324 , 76.41580674, 77.85588107,
       79.29595541, 80.73602974, 82.17610408, 83.61617842, 85.05625275,
       86.49632709, 87.93640142, 89.37647576])]","[[5.800451755523682, 22.53682518005371, 28.80148671565251], [8.795775413513184, 20.89618682861328, 28.80148671565251], [11.781966209411621, 19.086950302124023, 28.80148671565251]]","[30, 29.68496715624782, 29.380435407287347, 29.086054716625576, 28.80148671565251]",29.39058879916265,3,8,5,"[1, 2, 1]",post
"[130.04, 130.09, 130.14, 130.19, 130.24, 130.29000000000002, 130.34, 130.39, 130.44]","[array([33.52257836, 35.32489026, 37.12720216, 38.92951406, 40.73182595,
       42.45665048, 44.181475  , 45.90629953, 47.63112405]), array([70.299416  , 70.61800176, 70.93658751, 71.25517326, 71.57375902,
       72.05862859, 72.54349817, 73.02836774, 73.51323732]), array([77.15612947, 78.72622963, 80.29632978, 81.86642994, 83.43653009,
       85.00663025, 86.5767304 , 88.14683056, 89.71693072])]","[[36.04623794555664, 6.371715068817139, 31.402003109408923], [34.496490478515625, 9.697391510009766, 31.402003109408923]]","[30, 30.368520760074006, 30.724757494812255, 31.069119671725797, 31.402003109408923]",30.712880207204194,4,8,5,"[1, 2, 1]",post
"[215.24, 215.29000000000002, 215.34, 215.39, 215.44, 215.49, 215.54000000000002, 215.59, 215.64000000000001, 215.69, 215.74, 215.79000000000002, 215.84, 215.89, 215.94, 215.99, 216.04, 216.09, 216.14, 216.19, 216.24]","[array([34.8964952 , 35.02254854, 35.14860187, 35.2746552 , 35.40070854,
       35.56667924, 35.73264995, 35.89862066, 36.06459136, 36.17618375,
       36.28777614, 36.39936853, 36.51096092, 36.55298031, 36.5949997 ,
       36.6370191 , 36.67903849, 36.77349894, 36.86795938, 36.96241983,
       37.05688028]), array([38.09751878, 39.10124354, 40.10496831, 41.10869308, 42.11241784,
       42.96292081, 43.81342378, 44.66392675, 45.51442971, 46.37765031,
       47.24087091, 48.1040915 , 48.9673121 , 49.91420188, 50.86109166,
       51.80798144, 52.75487123, 53.68223157, 54.60959191, 55.53695226,
       56.4643126 ]), array([61.94269876, 63.34822701, 64.75375526, 66.15928351, 67.56481176,
       68.97034002, 70.37586827, 71.78139652, 73.18692477, 74.59245302,
       75.99798127, 77.40350952, 78.80903777, 80.21456602, 81.62009428,
       83.02562253, 84.43115078, 85.83667903, 87.24220728, 88.64773553,
       90.05326378])]","[[2.521066665649414, 20.074495315551758, 28.11056502130223], [3.3194141387939453, 17.010059356689453, 28.11056502130223], [2.2318477630615234, 17.26441192626953, 28.11056502130223], [0.8403878808021545, 18.937795639038086, 28.11056502130223], [1.8892089128494263, 18.54720687866211, 28.11056502130223]]","[30, 29.503356298008736, 29.02326738608384, 28.559181437889777, 28.11056502130223]",29.039274028656916,5,8,5,"[1, 2, 1]",post
"[222.64000000000001, 222.69, 222.74, 222.79000000000002, 222.84, 222.89, 222.94, 222.99, 223.04, 223.09, 223.14, 223.19, 223.24, 223.29000000000002, 223.34, 223.39, 223.44]","[array([44.44424043, 44.47765928, 44.51107812, 44.54449697, 44.57791582,
       44.62773264, 44.67754947, 44.72736629, 44.77718312, 44.87244162,
       44.96770013, 45.06295863, 45.15821714, 45.31080704, 45.46339695,
       45.61598685, 45.76857676]), array([44.85797744, 45.93814941, 47.01832138, 48.09849334, 49.17866531,
       50.27855907, 51.37845283, 52.47834659, 53.57824035, 54.69675422,
       55.81526809, 56.93378196, 58.05229583, 59.18560234, 60.31890884,
       61.45221534, 62.58552185]), array([75.50795893, 76.89654392, 78.28512892, 79.67371391, 81.06229891,
       82.4508839 , 83.8394689 , 85.22805389, 86.61663889, 88.00522389,
       89.39380888, 90.78239388, 92.17097887, 93.55956387, 94.94814886,
       96.33673386, 97.72531885])]","[[0.6683769226074219, 21.603439331054688, 27.771699908947905], [0.9963365197181702, 21.997875213623047, 27.771699908947905], [1.9051700830459595, 22.370277404785156, 27.771699908947905], [3.051798105239868, 22.66613006591797, 27.771699908947905]]","[30, 29.414284577746958, 28.848093002902345, 28.300774480552626, 27.771699908947905]",28.866970394029966,6,8,5,"[1, 2, 1]",post
"[225.24, 225.29000000000002, 225.34, 225.39, 225.44, 225.49, 225.54000000000002, 225.59, 225.64000000000001, 225.69, 225.74, 225.79000000000002, 225.84, 225.89, 225.94, 225.99, 226.04, 226.09, 226.14, 226.19, 226.24]","[array([35.10710391, 35.37224504, 35.63738617, 35.9025273 , 36.16766842,
       36.37828494, 36.58890146, 36.79951798, 37.01013449, 37.17474701,
       37.33935953, 37.50397205, 37.66858457, 37.78929824, 37.9100119 ,
       38.03072556, 38.15143922, 38.2247255 , 38.29801178, 38.37129806,
       38.44458433]), array([48.35795769, 48.81581678, 49.27367586, 49.73153495, 50.18939404,
       50.65433602, 51.11927799, 51.58421997, 52.04916195, 52.53025035,
       53.01133875, 53.49242715, 53.97351555, 54.46982536, 54.96613516,
       55.46244497, 55.95875477, 56.50015215, 57.04154953, 57.58294691,
       58.12434429]), array([71.01349684, 72.40661635, 73.79973585, 75.19285535, 76.58597485,
       77.97909436, 79.37221386, 80.76533336, 82.15845286, 83.55157236,
       84.94469187, 86.33781137, 87.73093087, 89.12405037, 90.51716988,
       91.91028938, 93.30340888, 94.69652838, 96.08964788, 97.48276739,
       98.87588689])]","[[5.302822589874268, 9.157181739807129, 27.862390045847757], [4.212330341339111, 9.298839569091797, 27.862390045847757], [3.292250394821167, 9.6217679977417, 27.862390045847757], [2.414273262023926, 9.926196098327637, 27.862390045847757], [1.4657255411148071, 10.827947616577148, 27.862390045847757]]","[30, 29.438122754679185, 28.89497475086909, 28.36993168051923, 27.862390045847757]",28.913083846383053,7,8,5,"[1, 2, 1]",post
"[227.04, 227.09, 227.14, 227.19, 227.24, 227.29000000000002, 227.34, 227.39, 227.44, 227.49, 227.54000000000002, 227.59, 227.64000000000001, 227.69, 227.74, 227.79000000000002, 227.84]","[array([50.78102094, 50.87789218, 50.97476342, 51.07163465, 51.16850589,
       51.31993588, 51.47136587, 51.62279585, 51.77422584, 51.9638299 ,
       52.15343395, 52.34303801, 52.53264206, 52.75685218, 52.9810623 ,
       53.20527242, 53.42948254]), array([54.80184732, 55.16046636, 55.51908541, 55.87770446, 56.2363235 ,
       56.65729065, 57.0782578 , 57.49922495, 57.9201921 , 58.41288891,
       58.90558572, 59.39828253, 59.89097934, 60.36712704, 60.84327474,
       61.31942244, 61.79557014]), array([70.40541809, 71.88159714, 73.3577762 , 74.83395525, 76.3101343 ,
       77.78631336, 79.26249241, 80.73867147, 82.21485052, 83.69102957,
       85.16720863, 86.64338768, 88.11956673, 89.59574579, 91.07192484,
       92.54810389, 94.02428295])]","[[1.9374247789382935, 7.1723809242248535, 29.523581072701464], [3.028599739074707, 8.419342994689941, 29.523581072701464], [3.792081117630005, 9.853936195373535, 29.523581072701464], [4.4842023849487305, 9.522953987121582, 29.523581072701464]]","[30, 29.87477184321244, 29.753717958317754, 29.63669920291964, 29.523581072701464]",29.757754015430258,8,8,5,"[1, 2, 1]",post
"[237.64000000000001, 237.69, 237.74, 237.79000000000002, 237.84, 237.89, 237.94, 237.99, 238.04]","[array([34.19418497, 34.92026891, 35.64635286, 36.37243681, 37.09852075,
       37.78773679, 38.47695284, 39.16616888, 39.85538492]), array([59.35351445, 59.56749886, 59.78148328, 59.9954677 , 60.20945212,
       60.5285431 , 60.84763409, 61.16672508, 61.48581606]), array([66.69507987, 68.19319649, 69.6913131 , 71.18942971, 72.68754632,
       74.18566294, 75.68377955, 77.18189616, 78.68001277])]","[[14.521678924560547, 4.279688358306885, 29.962332242563765], [13.784320831298828, 6.381819725036621, 29.962332242563765]]","[30, 29.990098915967103, 29.980527868068553, 29.971275855100096, 29.962332242563765]",29.980846976339905,9,8,5,"[1, 2, 1]",post
