t_list,x_list,v_list,v0_scn,v0_scn_mean,n_scn,N. file,iter,DOE,processed
"[14.240000000000002, 14.290000000000003, 14.340000000000002, 14.39, 14.440000000000001, 14.490000000000002, 14.540000000000001, 14.59, 14.64]","[array([47.39131046, 46.95406242, 46.51681438, 46.07956634, 45.6423183 ,
       45.67620806, 45.71009783, 45.74398759, 45.77787736]), array([51.39004619, 49.58521563, 47.78038508, 45.97555453, 44.17072398,
       44.61709906, 45.06347415, 45.50984923, 45.95622432]), array([71.53057024, 73.03057024, 74.53057024, 76.03057024, 77.53057024,
       79.03057024, 80.53057024, 82.03057024, 83.53057024])]","[[-8.74496078491211, -36.09661102294922, 30.0], [0.6777952909469604, 8.927501678466797, 30.0]]",[30],30.0,0,1,1,"[1, 10, 1]",post
"[23.64, 23.69, 23.740000000000002, 23.790000000000003, 23.840000000000003, 23.890000000000004, 23.940000000000005, 23.990000000000002, 24.040000000000003, 24.090000000000003, 24.14, 24.19, 24.240000000000002, 24.290000000000003, 24.340000000000003, 24.39, 24.44, 24.490000000000002, 24.54, 24.59, 24.64]","[array([39.20354853, 39.55755721, 39.91156588, 40.26557456, 40.61958323,
       41.22652703, 41.83347083, 42.44041463, 43.04735843, 43.67794386,
       44.30852929, 44.93911472, 45.56970015, 46.19722172, 46.82474328,
       47.45226484, 48.0797864 , 48.53507195, 48.9903575 , 49.44564305,
       49.9009286 ]), array([46.59381456, 47.55680112, 48.51978769, 49.48277425, 50.44576082,
       52.17302751, 53.9002942 , 55.62756089, 57.35482759, 59.13243608,
       60.91004457, 62.68765306, 64.46526155, 66.33783044, 68.21039933,
       70.08296823, 71.95553712, 73.42045173, 74.88536634, 76.35028095,
       77.81519555]), array([67.1031215, 68.6031215, 70.1031215, 71.6031215, 73.1031215,
       74.6031215, 76.1031215, 77.6031215, 79.1031215, 80.6031215,
       82.1031215, 83.6031215, 85.1031215, 86.6031215, 88.1031215,
       89.6031215, 91.1031215, 92.6031215, 94.1031215, 95.6031215,
       97.1031215])]","[[7.080173492431641, 19.25973129272461, 30.0], [12.138875961303711, 34.54533386230469, 30.0], [12.611708641052246, 35.55216979980469, 30.0], [12.550431251525879, 37.451377868652344, 30.0], [9.105710983276367, 29.29829216003418, 30.0]]",[30],30.0,1,1,1,"[1, 10, 1]",post
"[72.44, 72.49, 72.53999999999999, 72.59, 72.64, 72.69, 72.74000000000001, 72.79, 72.84, 72.89, 72.94, 72.99000000000001, 73.04, 73.09, 73.14000000000001, 73.19000000000001, 73.24000000000001, 73.29, 73.34, 73.39, 73.44]","[array([ 2.73338702,  4.17002213,  5.60665725,  7.04329236,  8.47992747,
        9.9053366 , 11.33074573, 12.75615485, 14.18156398, 15.62027448,
       17.05898498, 18.49769547, 19.93640597, 21.3472708 , 22.75813563,
       24.16900046, 25.57986529, 26.92762549, 28.27538569, 29.62314589,
       30.97090609]), array([24.60125514, 26.77804462, 28.95483409, 31.13162356, 33.30841304,
       35.38159305, 37.45477305, 39.52795306, 41.60113307, 43.45542651,
       45.30971995, 47.1640134 , 49.01830684, 50.9103345 , 52.80236217,
       54.69438983, 56.58641749, 58.4257701 , 60.26512271, 62.10447532,
       63.94382793]), array([57.93441825, 59.43441825, 60.93441825, 62.43441825, 63.93441825,
       65.43441825, 66.93441825, 68.43441825, 69.93441825, 71.43441825,
       72.93441825, 74.43441825, 75.93441825, 77.43441825, 78.93441825,
       80.43441825, 81.93441825, 83.43441825, 84.93441825, 86.43441825,
       87.93441825])]","[[28.732702255249023, 43.535789489746094, 30.0], [28.508182525634766, 41.463600158691406, 30.0], [28.77420997619629, 37.08586883544922, 30.0], [28.217296600341797, 37.840553283691406, 30.0], [26.955204010009766, 36.787052154541016, 30.0]]",[30],30.0,2,1,1,"[1, 10, 1]",post
"[84.24000000000001, 84.29, 84.34, 84.39000000000001, 84.44000000000001, 84.49000000000001, 84.54, 84.59, 84.64, 84.69, 84.74000000000001, 84.79, 84.84]","[array([21.74922515, 22.2542534 , 22.75928165, 23.2643099 , 23.76933814,
       23.96421611, 24.15909408, 24.35397205, 24.54885002, 24.80729619,
       25.06574236, 25.32418853, 25.5826347 ]), array([30.53274927, 32.83510752, 35.13746576, 37.43982401, 39.74218226,
       40.7326458 , 41.72310934, 42.71357289, 43.70403643, 45.18582926,
       46.66762209, 48.14941492, 49.63120775]), array([72.12361339, 73.62361339, 75.12361339, 76.62361339, 78.12361339,
       79.62361339, 81.12361339, 82.62361339, 84.12361339, 85.62361339,
       87.12361339, 88.62361339, 90.12361339])]","[[10.100564956665039, 46.04716491699219, 30.0], [3.897559404373169, 19.80927085876465, 30.0], [5.168923377990723, 29.63585662841797, 30.0]]",[30],30.0,3,1,1,"[1, 10, 1]",post
"[131.64, 131.69, 131.74, 131.79, 131.84, 131.89, 131.94, 131.99, 132.04]","[array([29.92533961, 30.04348057, 30.16162153, 30.27976249, 30.39790345,
       30.51457056, 30.63123768, 30.7479048 , 30.86457191]), array([32.50621833, 33.94638032, 35.38654231, 36.8267043 , 38.26686629,
       39.89267348, 41.51848067, 43.14428786, 44.77009505]), array([68.80830847, 70.30830847, 71.80830847, 73.30830847, 74.80830847,
       76.30830847, 77.80830847, 79.30830847, 80.80830847])]","[[2.362819194793701, 28.803239822387695, 30.0], [2.3333423137664795, 32.516143798828125, 30.0]]",[30],30.0,4,1,1,"[1, 10, 1]",post
"[148.04, 148.08999999999997, 148.14, 148.19, 148.23999999999998, 148.29, 148.33999999999997, 148.39, 148.44]","[array([48.20188876, 48.7555688 , 49.30924884, 49.86292887, 50.41660891,
       51.04467145, 51.67273398, 52.30079652, 52.92885905]), array([61.00463006, 61.54370381, 62.08277757, 62.62185132, 63.16092507,
       63.74756977, 64.33421447, 64.92085917, 65.50750386]), array([73.44573965, 74.94573965, 76.44573965, 77.94573965, 79.44573965,
       80.94573965, 82.44573965, 83.94573965, 85.44573965])]","[[11.073600769042969, 10.781475067138672, 30.0], [12.561250686645508, 11.732893943786621, 30.0]]",[30],30.0,5,1,1,"[1, 10, 1]",post
"[161.64, 161.69, 161.74, 161.79, 161.84, 161.89, 161.94, 161.99, 162.04]","[array([28.43130969, 28.8177864 , 29.2042631 , 29.59073981, 29.97721652,
       30.3465011 , 30.71578568, 31.08507026, 31.45435485]), array([35.84145807, 37.33918022, 38.83690237, 40.33462452, 41.83234667,
       43.64715723, 45.46196779, 47.27677835, 49.09158892]), array([66.68112381, 68.18112381, 69.68112381, 71.18112381, 72.68112381,
       74.18112381, 75.68112381, 77.18112381, 78.68112381])]","[[7.729534149169922, 29.954442977905273, 30.0], [7.3856916427612305, 36.29621124267578, 30.0]]",[30],30.0,6,1,1,"[1, 10, 1]",post
"[164.04, 164.09, 164.14, 164.19, 164.24, 164.29000000000002, 164.34, 164.39, 164.44, 164.49, 164.54, 164.58999999999997, 164.64]","[array([ 1.67315327,  3.03734709,  4.40154091,  5.76573473,  7.12992855,
        8.49921165,  9.86849476, 11.23777786, 12.60706096, 13.98565288,
       15.3642448 , 16.74283672, 18.12142864]), array([29.8673355 , 31.79166927, 33.71600303, 35.64033679, 37.56467056,
       39.3932146 , 41.22175865, 43.05030269, 44.87884673, 46.80285091,
       48.72685508, 50.65085925, 52.57486343]), array([69.96041499, 71.46041499, 72.96041499, 74.46041499, 75.96041499,
       77.46041499, 78.96041499, 80.46041499, 81.96041499, 83.46041499,
       84.96041499, 86.46041499, 87.96041499])]","[[27.283876419067383, 38.48667526245117, 30.0], [27.385662078857422, 36.57088088989258, 30.0], [27.57183837890625, 38.48008346557617, 30.0]]",[30],30.0,7,1,1,"[1, 10, 1]",post
"[215.64, 215.69, 215.74, 215.79, 215.84, 215.89, 215.94, 215.99, 216.04]","[array([ 7.56715783,  8.68779133,  9.80842484, 10.92905835, 12.04969186,
       13.26189202, 14.47409218, 15.68629235, 16.89849251]), array([33.0153937 , 34.45900017, 35.90260664, 37.34621312, 38.78981959,
       40.31310917, 41.83639876, 43.35968834, 44.88297793]), array([66.04304808, 67.54304808, 69.04304808, 70.54304808, 72.04304808,
       73.54304808, 75.04304808, 76.54304808, 78.04304808])]","[[22.412670135498047, 28.872129440307617, 30.0], [24.244003295898438, 30.465791702270508, 30.0]]",[30],30.0,8,1,1,"[1, 10, 1]",post
"[216.64, 216.69, 216.74, 216.79, 216.84, 216.89, 216.94, 216.99, 217.04]","[array([23.00124099, 23.69261515, 24.38398931, 25.07536347, 25.76673762,
       26.46631925, 27.16590087, 27.86548249, 28.56506412]), array([37.4235057 , 38.85577422, 40.28804275, 41.72031127, 43.15257979,
       44.71036902, 46.26815825, 47.82594748, 49.38373671]), array([68.22328745, 69.72328745, 71.22328745, 72.72328745, 74.22328745,
       75.72328745, 77.22328745, 78.72328745, 80.22328745])]","[[13.827483177185059, 28.645370483398438, 30.0], [13.991632461547852, 31.155784606933594, 30.0]]",[30],30.0,9,1,1,"[1, 10, 1]",post
"[240.64, 240.69, 240.74, 240.79, 240.84, 240.89, 240.94, 240.99, 241.04]","[array([37.36149996, 39.18816355, 41.01482714, 42.84149073, 44.66815432,
       46.37365626, 48.07915819, 49.78466013, 51.49016207]), array([72.75365783, 73.22267434, 73.69169084, 74.16070735, 74.62972385,
       75.16350161, 75.69727937, 76.23105713, 76.7648349 ]), array([81.26168384, 82.76168384, 84.26168384, 85.76168384, 87.26168384,
       88.76168384, 90.26168384, 91.76168384, 93.26168384])]","[[36.53327178955078, 9.380330085754395, 30.0], [34.11003875732422, 10.675555229187012, 30.0]]",[30],30.0,10,1,1,"[1, 10, 1]",post
"[253.64, 253.69, 253.74, 253.79, 253.84, 253.89, 253.94, 253.99, 254.04]","[array([26.83550775, 27.77005136, 28.70459497, 29.63913858, 30.57368219,
       31.53084714, 32.4880121 , 33.44517705, 34.40234201]), array([44.53373124, 46.01614825, 47.49856526, 48.98098227, 50.46339928,
       51.94443681, 53.42547433, 54.90651185, 56.38754937]), array([73.06370637, 74.56370637, 76.06370637, 77.56370637, 79.06370637,
       80.56370637, 82.06370637, 83.56370637, 85.06370637])]","[[18.690872192382812, 29.648340225219727, 30.0], [19.143299102783203, 29.620750427246094, 30.0]]",[30],30.0,11,1,1,"[1, 10, 1]",post
"[262.64, 262.69, 262.74, 262.78999999999996, 262.84, 262.89, 262.94, 262.99, 263.04, 263.09000000000003, 263.14, 263.19, 263.24, 263.29, 263.34000000000003, 263.39, 263.44, 263.49, 263.53999999999996, 263.59, 263.64]","[array([34.13341557, 34.47183293, 34.81025029, 35.14866766, 35.48708502,
       36.14262239, 36.79815975, 37.45369712, 38.10923449, 39.08086716,
       40.05249983, 41.0241325 , 41.99576517, 42.64739305, 43.29902092,
       43.95064879, 44.60227667, 44.97620481, 45.35013295, 45.72406109,
       46.09798924]), array([39.81100209, 40.56922305, 41.32744401, 42.08566497, 42.84388592,
       44.54246953, 46.24105313, 47.93963673, 49.63822034, 51.38462537,
       53.13103039, 54.87743542, 56.62384045, 58.96521504, 61.30658963,
       63.64796422, 65.98933881, 67.54604514, 69.10275147, 70.65945781,
       72.21616414]), array([53.35816516, 54.85816516, 56.35816516, 57.85816516, 59.35816516,
       60.85816516, 62.35816516, 63.85816516, 65.35816516, 66.85816516,
       68.35816516, 69.85816516, 71.35816516, 72.85816516, 74.35816516,
       75.85816516, 77.35816516, 78.85816516, 80.35816516, 81.85816516,
       83.35816516])]","[[6.768347263336182, 15.164419174194336, 30.0], [13.110747337341309, 33.97167205810547, 30.0], [19.432653427124023, 34.9281005859375, 30.0], [13.032557487487793, 46.827491760253906, 30.0], [7.478562831878662, 31.134126663208008, 30.0]]",[30],30.0,12,1,1,"[1, 10, 1]",post
"[314.84, 314.89, 314.93999999999994, 314.98999999999995, 315.03999999999996, 315.09, 315.14, 315.18999999999994, 315.23999999999995, 315.28999999999996, 315.34, 315.39, 315.44, 315.49, 315.53999999999996, 315.59, 315.64]","[array([14.49940545, 18.00069406, 21.50198266, 25.00327127, 28.50455987,
       28.64841236, 28.79226484, 28.93611733, 29.07996981, 29.62956326,
       30.17915671, 30.72875016, 31.27834361, 32.44297831, 33.60761301,
       34.77224772, 35.93688242]), array([50.3779938 , 52.11269457, 53.84739535, 55.58209612, 57.3167969 ,
       57.39556413, 57.47433135, 57.55309858, 57.63186581, 57.86692791,
       58.10199001, 58.33705211, 58.5721142 , 59.10848658, 59.64485896,
       60.18123133, 60.71760371]), array([67.92920197, 69.42920197, 70.92920197, 72.42920197, 73.92920197,
       75.42920197, 76.92920197, 78.42920197, 79.92920197, 81.42920197,
       82.92920197, 84.42920197, 85.92920197, 87.42920197, 88.92920197,
       90.42920197, 91.92920197])]","[[70.02577209472656, 34.69401550292969, 30.0], [2.877049684524536, 1.5753445625305176, 30.0], [10.99186897277832, 4.701241970062256, 30.0], [23.292694091796875, 10.727447509765625, 30.0]]",[30],30.0,13,1,1,"[1, 10, 1]",post
"[325.23999999999995, 325.28999999999996, 325.34, 325.39, 325.44, 325.49, 325.53999999999996, 325.59, 325.64, 325.69, 325.74, 325.78999999999996, 325.84, 325.89, 325.93999999999994, 325.98999999999995, 326.03999999999996, 326.09, 326.14, 326.18999999999994, 326.23999999999995, 326.28999999999996, 326.34, 326.39, 326.44]","[array([31.50536204, 31.77714041, 32.04891878, 32.32069714, 32.59247551,
       33.0641903 , 33.53590508, 34.00761986, 34.47933464, 35.2741539 ,
       36.06897316, 36.86379242, 37.65861168, 38.35703006, 39.05544844,
       39.75386682, 40.4522852 , 41.33134137, 42.21039753, 43.0894537 ,
       43.96850987, 45.0958067 , 46.22310353, 47.35040036, 48.47769719]), array([37.23630888, 37.67394697, 38.11158506, 38.54922315, 38.98686124,
       39.82174818, 40.65663511, 41.49152204, 42.32640897, 43.51052858,
       44.69464819, 45.87876779, 47.0628874 , 48.41026479, 49.75764219,
       51.10501958, 52.45239698, 53.9413727 , 55.43034841, 56.91932413,
       58.40829984, 60.27089635, 62.13349287, 63.99608938, 65.85868589]), array([46.74184727, 48.24184727, 49.74184727, 51.24184727, 52.74184727,
       54.24184727, 55.74184727, 57.24184727, 58.74184727, 60.24184727,
       61.74184727, 63.24184727, 64.74184727, 66.24184727, 67.74184727,
       69.24184727, 70.74184727, 72.24184727, 73.74184727, 75.24184727,
       76.74184727, 78.24184727, 79.74184727, 81.24184727, 82.74184727])]","[[5.435567378997803, 8.752761840820312, 30.0], [9.434295654296875, 16.697738647460938, 30.0], [15.896385192871094, 23.682392120361328, 30.0], [13.968367576599121, 26.947547912597656, 30.0], [17.58112335205078, 29.77951431274414, 30.0], [22.545936584472656, 37.251930236816406, 30.0]]",[30],30.0,14,1,1,"[1, 10, 1]",post
"[354.03999999999996, 354.09, 354.14, 354.19, 354.24, 354.28999999999996, 354.34, 354.39, 354.43999999999994, 354.48999999999995, 354.53999999999996, 354.59, 354.64]","[array([48.58337263, 48.84278132, 49.10219001, 49.3615987 , 49.62100738,
       49.75396543, 49.88692347, 50.01988151, 50.15283955, 50.20465933,
       50.2564791 , 50.30829887, 50.36011864]), array([49.9139655 , 52.81079988, 55.70763425, 58.60446862, 61.501303  ,
       62.48122863, 63.46115426, 64.44107989, 65.42100553, 66.99567718,
       68.57034883, 70.14502048, 71.71969213]), array([67.01314733, 68.51314733, 70.01314733, 71.51314733, 73.01314733,
       74.51314733, 76.01314733, 77.51314733, 79.01314733, 80.51314733,
       82.01314733, 83.51314733, 85.01314733])]","[[5.188173770904541, 57.93668746948242, 30.0], [2.659160852432251, 19.598512649536133, 30.0], [1.0363954305648804, 31.493432998657227, 30.0]]",[30],30.0,15,1,1,"[1, 10, 1]",post
"[363.43999999999994, 363.48999999999995, 363.53999999999996, 363.59, 363.64, 363.69, 363.74, 363.78999999999996, 363.84, 363.89, 363.93999999999994, 363.98999999999995, 364.03999999999996]","[array([22.83345733, 23.27668467, 23.71991201, 24.16313935, 24.60636669,
       24.97029844, 25.33423019, 25.69816194, 26.06209369, 26.44579196,
       26.82949024, 27.21318851, 27.59688678]), array([28.32730719, 31.59488874, 34.8624703 , 38.13005186, 41.39763342,
       43.77985579, 46.16207815, 48.54430052, 50.92652288, 53.03289152,
       55.13926016, 57.2456288 , 59.35199743]), array([73.24271281, 74.74271281, 76.24271281, 77.74271281, 79.24271281,
       80.74271281, 82.24271281, 83.74271281, 85.24271281, 86.74271281,
       88.24271281, 89.74271281, 91.24271281])]","[[8.864546775817871, 65.35163116455078, 30.0], [7.278635025024414, 47.644447326660156, 30.0], [7.6739654541015625, 42.12737274169922, 30.0]]",[30],30.0,16,1,1,"[1, 10, 1]",post
"[386.64, 386.69, 386.74, 386.78999999999996, 386.84, 386.89, 386.93999999999994, 386.98999999999995, 387.03999999999996, 387.09, 387.14, 387.19, 387.24, 387.28999999999996, 387.34, 387.39, 387.43999999999994]","[array([27.96329849, 28.06958865, 28.17587882, 28.28216898, 28.38845914,
       28.6434645 , 28.89846986, 29.15347522, 29.40848058, 29.80668321,
       30.20488585, 30.60308848, 31.00129111, 31.36575332, 31.73021553,
       32.09467774, 32.45913995]), array([29.43132683, 30.33111683, 31.23090683, 32.13069683, 33.03048683,
       34.78169666, 36.53290649, 38.28411633, 40.03532616, 42.14843575,
       44.26154533, 46.37465492, 48.48776451, 50.2840139 , 52.08026329,
       53.87651268, 55.67276207]), array([51.07402836, 52.57402836, 54.07402836, 55.57402836, 57.07402836,
       58.57402836, 60.07402836, 61.57402836, 63.07402836, 64.57402836,
       66.07402836, 67.57402836, 69.07402836, 70.57402836, 72.07402836,
       73.57402836, 75.07402836])]","[[2.125803232192993, 17.995800018310547, 30.0], [5.100107192993164, 35.02419662475586, 30.0], [7.964052677154541, 42.26219177246094, 30.0], [7.289244174957275, 35.92498779296875, 30.0]]",[30],30.0,17,1,1,"[1, 10, 1]",post
"[431.84, 431.89, 431.93999999999994, 431.98999999999995, 432.03999999999996, 432.09, 432.14, 432.19, 432.24]","[array([33.57140921, 34.93706682, 36.30272444, 37.66838205, 39.03403967,
       39.60638321, 40.17872675, 40.75107029, 41.32341383]), array([48.43508042, 51.21366853, 53.99225663, 56.77084473, 59.54943284,
       60.64169301, 61.73395318, 62.82621335, 63.91847352]), array([79.49944098, 80.99944098, 82.49944098, 83.99944098, 85.49944098,
       86.99944098, 88.49944098, 89.99944098, 91.49944098])]","[[27.313152313232422, 55.57176208496094, 30.0], [11.446870803833008, 21.845203399658203, 30.0]]",[30],30.0,18,1,1,"[1, 10, 1]",post
"[446.24, 446.28999999999996, 446.34, 446.39, 446.43999999999994, 446.48999999999995, 446.53999999999996, 446.59, 446.64, 446.69, 446.74, 446.78999999999996, 446.84]","[array([17.08434134, 17.91910982, 18.75387831, 19.58864679, 20.42341528,
       20.89689236, 21.37036943, 21.84384651, 22.31732359, 22.94045858,
       23.56359358, 24.18672857, 24.80986357]), array([29.59132804, 31.68274078, 33.77415351, 35.86556625, 37.95697898,
       39.199654  , 40.44232902, 41.68500404, 42.92767906, 44.60246925,
       46.27725944, 47.95204963, 49.62683982]), array([62.54475553, 64.04475553, 65.54475553, 67.04475553, 68.54475553,
       70.04475553, 71.54475553, 73.04475553, 74.54475553, 76.04475553,
       77.54475553, 79.04475553, 80.54475553])]","[[16.695369720458984, 41.82825469970703, 30.0], [9.469541549682617, 24.853500366210938, 30.0], [12.462699890136719, 33.49580383300781, 30.0]]",[30],30.0,19,1,1,"[1, 10, 1]",post
