t_list,x_list,v0_scn,L_scn,n_scn,N. file,LWR_flag
"[14.240000000000002, 14.290000000000003, 14.340000000000002, 14.39, 14.440000000000001, 14.490000000000002, 14.540000000000001, 14.59, 14.64]","[array([47.39131046, 48.21896798, 49.12645599, 50.09056557, 51.0975447 ,
       52.13845111, 53.2070781 , 54.29891693, 55.41056543]), array([51.39004619, 52.788393  , 54.18789245, 55.58851895, 56.99024787,
       58.39305547, 59.79691877, 61.20181568, 62.60772485]), array([71.53057024, 73.08243574, 74.63430124, 76.18616675, 77.73803225,
       79.28989775, 80.84176326, 82.39362876, 83.94549426])]",31.037310071241993,2.0,0,1,Lin
"[23.64, 23.69, 23.740000000000002, 23.790000000000003, 23.840000000000003, 23.890000000000004, 23.940000000000005, 23.990000000000002, 24.040000000000003, 24.090000000000003, 24.14, 24.19, 24.240000000000002, 24.290000000000003, 24.340000000000003, 24.39, 24.44, 24.490000000000002, 24.54, 24.59, 24.64]","[array([39.20354853, 40.38016083, 41.57118049, 42.77504742, 43.99046756,
       45.21635285, 46.45177669, 47.69594402, 48.94816672, 50.20784461,
       51.47444788, 52.74750877, 54.0266107 , 55.31138207, 56.60148833,
       57.89662596, 59.19652093, 60.50092391, 61.80960921, 63.12236548,
       64.43900157]), array([46.59381456, 48.0406152 , 49.48857986, 50.93768284, 52.38789934,
       53.83920549, 55.29157817, 56.74499513, 58.19943489, 59.65487672,
       61.11130046, 62.56868674, 64.02701676, 65.48627238, 66.94643598,
       68.40749047, 69.86941935, 71.33220659, 72.79583675, 74.2602946 ,
       75.72556558]), array([67.1031215 , 68.70559966, 70.30807783, 71.91055599, 73.51303416,
       75.11551232, 76.71799049, 78.32046865, 79.92294682, 81.52542498,
       83.12790315, 84.73038131, 86.33285948, 87.93533764, 89.53781581,
       91.14029397, 92.74277214, 94.3452503 , 95.94772847, 97.55020663,
       99.1526848 ])]",32.04956330054356,2.0,1,1,Lin
"[72.44, 72.49, 72.53999999999999, 72.59, 72.64, 72.69, 72.74000000000001, 72.79, 72.84, 72.89, 72.94, 72.99000000000001, 73.04, 73.09, 73.14000000000001, 73.19000000000001, 73.24000000000001, 73.29, 73.34, 73.39, 73.44]","[array([ 2.73338702,  4.0863998 ,  5.43970277,  6.79329444,  8.14717309,
        9.50133714, 10.85578515, 12.21051575, 13.56552741, 14.92081825,
       16.27638709, 17.63223236, 18.98835291, 20.3447467 , 21.70141275,
       23.05834911, 24.41555514, 25.77302867, 27.13076858, 28.48877349,
       29.84704223]), array([24.60125514, 26.0010845 , 27.40115147, 28.80145424, 30.20199074,
       31.60275909, 33.00375758, 34.4049846 , 35.80643836, 37.20811666,
       38.61001814, 40.01214101, 41.41448396, 42.81704464, 44.21982197,
       45.62281376, 47.02601929, 48.42943615, 49.83306311, 51.23689864,
       52.64094149]), array([57.93441825, 59.42347192, 60.91252559, 62.40157926, 63.89063294,
       65.37968661, 66.86874028, 68.35779396, 69.84684763, 71.3359013 ,
       72.82495497, 74.31400865, 75.80306232, 77.29211599, 78.78116966,
       80.27022334, 81.75927701, 83.24833068, 84.73738435, 86.22643803,
       87.7154917 ])]",29.781073452468735,2.0,2,1,Lin
"[84.24000000000001, 84.29, 84.34, 84.39000000000001, 84.44000000000001, 84.49000000000001, 84.54, 84.59, 84.64, 84.69, 84.74000000000001, 84.79, 84.84]","[array([21.74922515, 22.9077189 , 24.07565765, 25.25222388, 26.43671228,
       27.62850859, 28.82707329, 30.03193057, 31.24265812, 32.45887958,
       33.6802559 , 34.90648212, 36.13728214]), array([30.53274927, 31.95453426, 33.37644262, 34.79847374, 36.22062698,
       37.64290171, 39.06529733, 40.4878132 , 41.91044874, 43.33320334,
       44.75607638, 46.1790673 , 47.60217549]), array([72.12361339, 73.61715723, 75.11070108, 76.60424492, 78.09778876,
       79.59133261, 81.08487645, 82.5784203 , 84.07196414, 85.56550798,
       87.05905183, 88.55259567, 90.04613951])]",29.870876877928193,2.0,3,1,Lin
"[131.64, 131.69, 131.74, 131.79, 131.84, 131.89, 131.94, 131.99, 132.04]","[array([29.92533961, 30.50857735, 31.33016946, 32.27706436, 33.30457276,
       34.38956114, 35.5182091 , 36.68148254, 37.87308825]), array([32.50621833, 34.07955209, 35.65311588, 37.22690797, 38.80092667,
       40.3751703 , 41.94963718, 43.52432568, 45.09923419]), array([68.80830847, 70.47325388, 72.1381993 , 73.80314471, 75.46809012,
       77.13303554, 78.79798095, 80.46292636, 82.12787178])]",33.298908266151656,2.0,4,1,Lin
"[148.04, 148.08999999999997, 148.14, 148.19, 148.23999999999998, 148.29, 148.33999999999997, 148.39, 148.44]","[array([48.20188876, 49.43650229, 50.67107478, 51.90568035, 53.14038693,
       54.37525816, 55.61035166, 56.84572337, 58.08142341]), array([61.00463006, 62.23482725, 63.4692346 , 64.7076293 , 65.9498105 ,
       67.19559243, 68.44480795, 69.69729585, 70.95291164]), array([73.44573965, 74.90898158, 76.37222351, 77.83546544, 79.29870737,
       80.7619493 , 82.22519123, 83.68843316, 85.15167509])]",29.26483858086897,2.0,5,1,Lin
"[161.64, 161.69, 161.74, 161.79, 161.84, 161.89, 161.94, 161.99, 162.04]","[array([28.43130969, 29.66942497, 30.92585052, 32.19830154, 33.48493187,
       34.78422606, 36.09491974, 37.41594699, 38.74639969]), array([35.84145807, 37.41460704, 38.9881378 , 40.56204634, 42.13632877,
       43.71098123, 45.28599992, 46.86138113, 48.4371212 ]), array([66.68112381, 68.36316341, 70.045203  , 71.7272426 , 73.4092822 ,
       75.09132179, 76.77336139, 78.45540099, 80.13744058])]",33.64079194261417,2.0,6,1,Lin
"[164.04, 164.09, 164.14, 164.19, 164.24, 164.29000000000002, 164.34, 164.39, 164.44, 164.49, 164.54, 164.58999999999997, 164.64]","[array([ 1.67315327,  3.07908917,  4.48561003,  5.89271374,  7.30039799,
        8.70866056, 10.1174993 , 11.5269121 , 12.93689645, 14.34744979,
       15.75856997, 17.17025482, 18.58250185]), array([29.8673355 , 31.34340605, 32.82015617, 34.29757763, 35.7756618 ,
       37.2544007 , 38.73378691, 40.21381345, 41.69447205, 43.17575456,
       44.65765456, 46.14016567, 47.62328077]), array([69.96041499, 71.60220889, 73.24400279, 74.88579669, 76.52759059,
       78.16938449, 79.81117839, 81.4529723 , 83.0947662 , 84.7365601 ,
       86.378354  , 88.0201479 , 89.6619418 ])]",32.83587801159743,4.05537400827859,7,1,Lin
"[215.64, 215.69, 215.74, 215.79, 215.84, 215.89, 215.94, 215.99, 216.04]","[array([ 7.56715783,  9.09578158, 10.62566004, 12.15680129, 13.68921182,
       15.2228972 , 16.7578616 , 18.29410873, 19.83164107]), array([33.0153937 , 34.62992543, 36.24687907, 37.86619199, 39.48780678,
       41.11166697, 42.73772124, 44.36591579, 45.99620183]), array([66.04304808, 67.94275439, 69.8424607 , 71.74216701, 73.64187331,
       75.54157962, 77.44128593, 79.34099224, 81.24069854])]",37.994126155798895,4.979344234324688,8,1,Lin
"[216.64, 216.69, 216.74, 216.79, 216.84, 216.89, 216.94, 216.99, 217.04]","[array([23.00124099, 24.63158541, 26.26438364, 27.89955507, 29.53702538,
       31.17672314, 32.81858295, 34.46253892, 36.10853123]), array([37.4235057 , 39.19230834, 40.961595  , 42.73135988, 44.50159747,
       46.27230223, 48.04346896, 49.81509222, 51.58716691]), array([68.22328745, 70.11466372, 72.00603999, 73.89741626, 75.78879253,
       77.6801688 , 79.57154507, 81.46292134, 83.35429761])]",37.82752539738231,2.0,9,1,Lin
