t_list,x_list,v_list,v0_scn,v0_scn_mean,n_scn,N. file,iter,DOE,processed
"[2.8, 2.8499999999999996, 2.9, 2.95, 3.0, 3.05, 3.1, 3.1500000000000004, 3.2, 3.25, 3.3000000000000003, 3.3500000000000005, 3.4000000000000004, 3.45, 3.5, 3.5500000000000003, 3.6, 3.65, 3.7, 3.75, 3.8, 3.8499999999999996, 3.9, 3.95, 4.0, 4.05, 4.1, 4.15, 4.2, 4.25, 4.300000000000001, 4.3500000000000005, 4.4, 4.45, 4.5, 4.550000000000001, 4.6000000000000005, 4.65, 4.7, 4.75, 4.8, 4.85, 4.9, 4.95, 5.0, 5.05, 5.1, 5.15, 5.2]","[array([ 4.98115434,  5.57684445,  6.17253456,  6.76822466,  7.36391477,
        7.97696485,  8.59001493,  9.20306501,  9.81611509, 10.43070483,
       11.04529457, 11.65988431, 12.27447404, 12.89925184, 13.52402963,
       14.14880743, 14.77358522, 15.41257834, 16.05157146, 16.69056458,
       17.3295577 , 17.96749272, 18.60542774, 19.24336276, 19.88129777,
       20.50404806, 21.12679834, 21.74954862, 22.3722989 , 22.99851832,
       23.62473774, 24.25095715, 24.87717657, 25.52158851, 26.16600046,
       26.8104124 , 27.45482435, 28.09281783, 28.73081131, 29.36880478,
       30.00679826, 30.62792368, 31.24904909, 31.8701745 , 32.49129991,
       33.09255466, 33.69380941, 34.29506416, 34.89631891]), array([31.07335176, 31.06302954, 31.05270732, 31.0423851 , 31.03206288,
       31.02251524, 31.0129676 , 31.00341996, 30.99387232, 30.98590909,
       30.97794587, 30.96998265, 30.96201943, 30.95592064, 30.94982185,
       30.94372306, 30.93762427, 30.93386477, 30.93010528, 30.92634578,
       30.92258628, 30.92120832, 30.91983035, 30.91845239, 30.91707443,
       30.91901734, 30.92096026, 30.92290318, 30.9248461 , 30.93006185,
       30.9352776 , 30.94049336, 30.94570911, 30.95496575, 30.9642224 ,
       30.97347904, 30.98273569, 30.99628699, 31.00983829, 31.0233896 ,
       31.0369409 , 31.05465433, 31.07236775, 31.09008118, 31.1077946 ,
       31.12931442, 31.15083424, 31.17235406, 31.19387387]), array([0.        , 0.02894573, 0.05789145, 0.08683718, 0.1157829 ,
       0.14472591, 0.17366891, 0.20261191, 0.23155491, 0.26051157,
       0.28946823, 0.31842489, 0.34738154, 0.37634375, 0.40530596,
       0.43426817, 0.46323038, 0.49220147, 0.52117255, 0.55014363,
       0.57911471, 0.60808302, 0.63705132, 0.66601962, 0.69498793,
       0.72397523, 0.75296253, 0.78194983, 0.81093713, 0.83993802,
       0.86893891, 0.89793979, 0.92694068, 0.95596441, 0.98498814,
       1.01401187, 1.0430356 , 1.0720803 , 1.101125  , 1.13016969,
       1.15921439, 1.18827634, 1.21733829, 1.24640024, 1.27546219,
       1.30453697, 1.33361176, 1.36268654, 1.39176133]), array([0.        , 0.02894573, 0.05789145, 0.08683718, 0.1157829 ,
       0.14472591, 0.17366891, 0.20261191, 0.23155491, 0.26051157,
       0.28946823, 0.31842489, 0.34738154, 0.37634375, 0.40530596,
       0.43426817, 0.46323038, 0.49220147, 0.52117255, 0.55014363,
       0.57911471, 0.60808302, 0.63705132, 0.66601962, 0.69498793,
       0.72397523, 0.75296253, 0.78194983, 0.81093713, 0.83993802,
       0.86893891, 0.89793979, 0.92694068, 0.95596441, 0.98498814,
       1.01401187, 1.0430356 , 1.0720803 , 1.101125  , 1.13016969,
       1.15921439, 1.18827634, 1.21733829, 1.24640024, 1.27546219,
       1.30453697, 1.33361176, 1.36268654, 1.39176133]), array([0.        , 0.02894573, 0.05789145, 0.08683718, 0.1157829 ,
       0.14472591, 0.17366891, 0.20261191, 0.23155491, 0.26051157,
       0.28946823, 0.31842489, 0.34738154, 0.37634375, 0.40530596,
       0.43426817, 0.46323038, 0.49220147, 0.52117255, 0.55014363,
       0.57911471, 0.60808302, 0.63705132, 0.66601962, 0.69498793,
       0.72397523, 0.75296253, 0.78194983, 0.81093713, 0.83993802,
       0.86893891, 0.89793979, 0.92694068, 0.95596441, 0.98498814,
       1.01401187, 1.0430356 , 1.0720803 , 1.101125  , 1.13016969,
       1.15921439, 1.18827634, 1.21733829, 1.24640024, 1.27546219,
       1.30453697, 1.33361176, 1.36268654, 1.39176133]), array([0.        , 0.02894573, 0.05789145, 0.08683718, 0.1157829 ,
       0.14472591, 0.17366891, 0.20261191, 0.23155491, 0.26051157,
       0.28946823, 0.31842489, 0.34738154, 0.37634375, 0.40530596,
       0.43426817, 0.46323038, 0.49220147, 0.52117255, 0.55014363,
       0.57911471, 0.60808302, 0.63705132, 0.66601962, 0.69498793,
       0.72397523, 0.75296253, 0.78194983, 0.81093713, 0.83993802,
       0.86893891, 0.89793979, 0.92694068, 0.95596441, 0.98498814,
       1.01401187, 1.0430356 , 1.0720803 , 1.101125  , 1.13016969,
       1.15921439, 1.18827634, 1.21733829, 1.24640024, 1.27546219,
       1.30453697, 1.33361176, 1.36268654, 1.39176133]), array([0.        , 0.02894573, 0.05789145, 0.08683718, 0.1157829 ,
       0.14472591, 0.17366891, 0.20261191, 0.23155491, 0.26051157,
       0.28946823, 0.31842489, 0.34738154, 0.37634375, 0.40530596,
       0.43426817, 0.46323038, 0.49220147, 0.52117255, 0.55014363,
       0.57911471, 0.60808302, 0.63705132, 0.66601962, 0.69498793,
       0.72397523, 0.75296253, 0.78194983, 0.81093713, 0.83993802,
       0.86893891, 0.89793979, 0.92694068, 0.95596441, 0.98498814,
       1.01401187, 1.0430356 , 1.0720803 , 1.101125  , 1.13016969,
       1.15921439, 1.18827634, 1.21733829, 1.24640024, 1.27546219,
       1.30453697, 1.33361176, 1.36268654, 1.39176133]), array([0.        , 0.02894573, 0.05789145, 0.08683718, 0.1157829 ,
       0.14472591, 0.17366891, 0.20261191, 0.23155491, 0.26051157,
       0.28946823, 0.31842489, 0.34738154, 0.37634375, 0.40530596,
       0.43426817, 0.46323038, 0.49220147, 0.52117255, 0.55014363,
       0.57911471, 0.60808302, 0.63705132, 0.66601962, 0.69498793,
       0.72397523, 0.75296253, 0.78194983, 0.81093713, 0.83993802,
       0.86893891, 0.89793979, 0.92694068, 0.95596441, 0.98498814,
       1.01401187, 1.0430356 , 1.0720803 , 1.101125  , 1.13016969,
       1.15921439, 1.18827634, 1.21733829, 1.24640024, 1.27546219,
       1.30453697, 1.33361176, 1.36268654, 1.39176133]), array([ 0. ,  1.5,  3. ,  4.5,  6. ,  7.5,  9. , 10.5, 12. , 13.5, 15. ,
       16.5, 18. , 19.5, 21. , 22.5, 24. , 25.5, 27. , 28.5, 30. , 31.5,
       33. , 34.5, 36. , 37.5, 39. , 40.5, 42. , 43.5, 45. , 46.5, 48. ,
       49.5, 51. , 52.5, 54. , 55.5, 57. , 58.5, 60. , 61.5, 63. , 64.5,
       66. , 67.5, 69. , 70.5, 72. ])]","[[11.913802146911621, -0.2064443975687027, 0.5789145231246948, 0.5789145231246948, 0.5789145231246948, 0.5789145231246948, 0.5789145231246948, 0.5789145231246948, 30.0], [12.261001586914062, -0.1909528374671936, 0.5788600444793701, 0.5788600444793701, 0.5788600444793701, 0.5788600444793701, 0.5788600444793701, 0.5788600444793701, 30.0], [12.291794776916504, -0.1592644304037094, 0.579133152961731, 0.579133152961731, 0.579133152961731, 0.579133152961731, 0.579133152961731, 0.579133152961731, 30.0], [12.495555877685547, -0.12197579443454742, 0.5792441964149475, 0.5792441964149475, 0.5792441964149475, 0.5792441964149475, 0.5792441964149475, 0.5792441964149475, 30.0], [12.779862403869629, -0.07518994808197021, 0.5794216394424438, 0.5794216394424438, 0.5794216394424438, 0.5794216394424438, 0.5794216394424438, 0.5794216394424438, 30.0], [12.758700370788574, -0.027559272944927216, 0.5793660879135132, 0.5793660879135132, 0.5793660879135132, 0.5793660879135132, 0.5793660879135132, 0.5793660879135132, 30.0], [12.455005645751953, 0.03885836899280548, 0.5797460079193115, 0.5797460079193115, 0.5797460079193115, 0.5797460079193115, 0.5797460079193115, 0.5797460079193115, 30.0], [12.524388313293457, 0.10431503504514694, 0.5800177454948425, 0.5800177454948425, 0.5800177454948425, 0.5800177454948425, 0.5800177454948425, 0.5800177454948425, 30.0], [12.888238906860352, 0.18513289093971252, 0.5804746150970459, 0.5804746150970459, 0.5804746150970459, 0.5804746150970459, 0.5804746150970459, 0.5804746150970459, 30.0], [12.759869575500488, 0.271026074886322, 0.5808939337730408, 0.5808939337730408, 0.5808939337730408, 0.5808939337730408, 0.5808939337730408, 0.5808939337730408, 30.0], [12.422508239746094, 0.35426852107048035, 0.5812389850616455, 0.5812389850616455, 0.5812389850616455, 0.5812389850616455, 0.5812389850616455, 0.5812389850616455, 30.0], [12.025094985961914, 0.43039634823799133, 0.5814957022666931, 0.5814957022666931, 0.5814957022666931, 0.5814957022666931, 0.5814957022666931, 0.5814957022666931, 30.0]]",[30],30.0,0,6,1,"[1, 2, 1]",pre
"[14.8, 14.850000000000001, 14.900000000000002, 14.950000000000001, 15.000000000000002, 15.05, 15.100000000000001, 15.150000000000002, 15.200000000000001, 15.250000000000002, 15.3, 15.350000000000001, 15.400000000000002, 15.450000000000003, 15.500000000000002, 15.55, 15.600000000000001]","[array([37.48722929, 37.80850064, 38.12977199, 38.45104333, 38.77231468,
       39.15175056, 39.53118643, 39.9106223 , 40.29005817, 40.72635764,
       41.16265711, 41.59895658, 42.03525604, 42.52832603, 43.02139601,
       43.51446599, 44.00753597]), array([51.90007169, 53.40007169, 54.90007169, 56.40007169, 57.90007169,
       59.40007169, 60.90007169, 62.40007169, 63.90007169, 65.40007169,
       66.90007169, 68.40007169, 69.90007169, 71.40007169, 72.90007169,
       74.40007169, 75.90007169])]","[[6.425426959991455, 30.0], [7.588717460632324, 30.0], [8.72598934173584, 30.0], [9.86139965057373, 30.0]]",[30],30.0,1,6,1,"[1, 2, 1]",pre
"[24.6, 24.650000000000002, 24.700000000000003, 24.75, 24.8, 24.85, 24.900000000000002, 24.950000000000003, 25.000000000000004, 25.050000000000004, 25.1, 25.150000000000002, 25.200000000000003, 25.250000000000004, 25.300000000000004, 25.35, 25.400000000000002, 25.450000000000003, 25.5, 25.55, 25.6, 25.650000000000002, 25.700000000000003, 25.75, 25.8, 25.85, 25.900000000000002, 25.950000000000003, 26.000000000000004, 26.050000000000004, 26.1, 26.150000000000002, 26.200000000000003, 26.250000000000004, 26.300000000000004, 26.35, 26.400000000000002]","[array([ 5.36515467,  6.24802459,  7.1308945 ,  8.01376441,  8.89663432,
        9.78061726, 10.66460021, 11.54858315, 12.4325661 , 13.29607327,
       14.15958045, 15.02308762, 15.8865948 , 16.74702218, 17.60744956,
       18.46787694, 19.32830432, 20.19445689, 21.06060946, 21.92676203,
       22.79291461, 23.62979443, 24.46667426, 25.30355408, 26.14043391,
       26.98331616, 27.82619841, 28.66908066, 29.51196292, 30.40915053,
       31.30633815, 32.20352576, 33.10071337, 34.01941598, 34.93811858,
       35.85682118, 36.77552378]), array([32.7913881, 34.2913881, 35.7913881, 37.2913881, 38.7913881,
       40.2913881, 41.7913881, 43.2913881, 44.7913881, 46.2913881,
       47.7913881, 49.2913881, 50.7913881, 52.2913881, 53.7913881,
       55.2913881, 56.7913881, 58.2913881, 59.7913881, 61.2913881,
       62.7913881, 64.2913881, 65.7913881, 67.2913881, 68.7913881,
       70.2913881, 71.7913881, 73.2913881, 74.7913881, 76.2913881,
       77.7913881, 79.2913881, 80.7913881, 82.2913881, 83.7913881,
       85.2913881, 86.7913881])]","[[17.657398223876953, 30.0], [17.679658889770508, 30.0], [17.270143508911133, 30.0], [17.208547592163086, 30.0], [17.32305145263672, 30.0], [16.73759651184082, 30.0], [16.85764503479004, 30.0], [17.94375228881836, 30.0], [18.374052047729492, 30.0]]",[30],30.0,2,6,1,"[1, 2, 1]",pre
"[29.8, 29.85, 29.900000000000002, 29.950000000000003, 30.000000000000004, 30.050000000000004, 30.1, 30.150000000000002, 30.200000000000003, 30.250000000000004, 30.300000000000004, 30.35, 30.400000000000002, 30.450000000000003, 30.5, 30.55, 30.6, 30.650000000000002, 30.700000000000003, 30.75, 30.8]","[array([ 4.76315447,  6.04405771,  7.32496096,  8.6058642 ,  9.88676744,
       10.71263576, 11.53850409, 12.36437241, 13.19024073, 14.40222612,
       15.61421152, 16.82619692, 18.03818232, 19.00628324, 19.97438417,
       20.9424851 , 21.91058603, 22.71328531, 23.51598459, 24.31868387,
       25.12138315]), array([43.87390506, 45.37390506, 46.87390506, 48.37390506, 49.87390506,
       51.37390506, 52.87390506, 54.37390506, 55.87390506, 57.37390506,
       58.87390506, 60.37390506, 61.87390506, 63.37390506, 64.87390506,
       66.37390506, 67.87390506, 69.37390506, 70.87390506, 72.37390506,
       73.87390506])]","[[25.618064880371094, 30.0], [16.517366409301758, 30.0], [24.239707946777344, 30.0], [19.362018585205078, 30.0], [16.053985595703125, 30.0]]",[30],30.0,3,6,1,"[1, 2, 1]",pre
"[31.8, 31.85, 31.9, 31.95, 32.0, 32.05, 32.1, 32.150000000000006, 32.2, 32.25, 32.3, 32.35, 32.4, 32.45, 32.5, 32.55, 32.6, 32.65, 32.7, 32.75, 32.8]","[array([11.68316443, 12.45691617, 13.2306679 , 14.00441964, 14.77817137,
       15.55381453, 16.32945769, 17.10510085, 17.88074401, 18.69027913,
       19.49981425, 20.30934937, 21.11888449, 21.94772513, 22.77656577,
       23.60540641, 24.43424704, 25.26711238, 26.09997771, 26.93284304,
       27.76570838]), array([45.21775867, 46.71775867, 48.21775867, 49.71775867, 51.21775867,
       52.71775867, 54.21775867, 55.71775867, 57.21775867, 58.71775867,
       60.21775867, 61.71775867, 63.21775867, 64.71775867, 66.21775867,
       67.71775867, 69.21775867, 70.71775867, 72.21775867, 73.71775867,
       75.21775867])]","[[15.475034713745117, 30.0], [15.512863159179688, 30.0], [16.190702438354492, 30.0], [16.576812744140625, 30.0], [16.657306671142578, 30.0]]",[30],30.0,4,6,1,"[1, 2, 1]",pre
"[66.4, 66.45, 66.5, 66.55, 66.6, 66.64999999999999, 66.69999999999999, 66.75, 66.8, 66.85, 66.9, 66.95, 67.0, 67.05, 67.1, 67.15, 67.2, 67.25, 67.30000000000001, 67.35000000000001, 67.4]","[array([19.83920888, 20.37171692, 20.90422496, 21.436733  , 21.96924104,
       22.55645427, 23.1436675 , 23.73088073, 24.31809396, 24.9444672 ,
       25.57084044, 26.19721369, 26.82358693, 27.50737466, 28.19116238,
       28.87495011, 29.55873784, 30.33618611, 31.11363438, 31.89108266,
       32.66853093]), array([36.09719397, 37.59719397, 39.09719397, 40.59719397, 42.09719397,
       43.59719397, 45.09719397, 46.59719397, 48.09719397, 49.59719397,
       51.09719397, 52.59719397, 54.09719397, 55.59719397, 57.09719397,
       58.59719397, 60.09719397, 61.59719397, 63.09719397, 64.59719397,
       66.09719397])]","[[10.650160789489746, 30.0], [11.744264602661133, 30.0], [12.527464866638184, 30.0], [13.67575454711914, 30.0], [15.548965454101562, 30.0]]",[30],30.0,5,6,1,"[1, 2, 1]",pre
"[72.2, 72.25, 72.30000000000001, 72.35000000000001, 72.4, 72.45, 72.5, 72.55, 72.6, 72.64999999999999, 72.69999999999999, 72.75, 72.8]","[array([43.31087515, 44.04629032, 44.78170549, 45.51712067, 46.25253584,
       47.56477196, 48.87700807, 50.18924419, 51.50148031, 52.88954031,
       54.27760031, 55.6656603 , 57.0537203 ]), array([57.68240408, 59.18240408, 60.68240408, 62.18240408, 63.68240408,
       65.18240408, 66.68240408, 68.18240408, 69.68240408, 71.18240408,
       72.68240408, 74.18240408, 75.68240408])]","[[14.708303451538086, 30.0], [26.244722366333008, 30.0], [27.761199951171875, 30.0]]",[30],30.0,6,6,1,"[1, 2, 1]",pre
"[73.8, 73.85, 73.9, 73.95, 74.0, 74.05, 74.1, 74.15, 74.2, 74.25, 74.30000000000001, 74.35000000000001, 74.4, 74.45, 74.5, 74.55, 74.6, 74.64999999999999, 74.69999999999999, 74.75, 74.8, 74.85, 74.9, 74.95, 75.0, 75.05, 75.1, 75.15, 75.2]","[array([44.80575417, 45.06685158, 45.32794899, 45.58904639, 45.8501438 ,
       46.28379272, 46.71744164, 47.15109056, 47.58473948, 48.35656861,
       49.12839774, 49.90022687, 50.67205599, 51.70036562, 52.72867526,
       53.75698489, 54.78529452, 56.17207917, 57.55886382, 58.94564847,
       60.33243311, 61.78202265, 63.23161219, 64.68120173, 66.13079127,
       67.45652894, 68.7822666 , 70.10800427, 71.43374194]), array([47.31265148, 48.81265148, 50.31265148, 51.81265148, 53.31265148,
       54.81265148, 56.31265148, 57.81265148, 59.31265148, 60.81265148,
       62.31265148, 63.81265148, 65.31265148, 66.81265148, 68.31265148,
       69.81265148, 71.31265148, 72.81265148, 74.31265148, 75.81265148,
       77.31265148, 78.81265148, 80.31265148, 81.81265148, 83.31265148,
       84.81265148, 86.31265148, 87.81265148, 89.31265148])]","[[5.221948146820068, 30.0], [8.672978401184082, 30.0], [15.436582565307617, 30.0], [20.566192626953125, 30.0], [27.735692977905273, 30.0], [28.991790771484375, 30.0], [26.514753341674805, 30.0]]",[30],30.0,7,6,1,"[1, 2, 1]",pre
"[86.60000000000001, 86.65, 86.7, 86.75, 86.8, 86.85, 86.9, 86.95, 87.0, 87.05, 87.1, 87.15, 87.2, 87.25, 87.30000000000001, 87.35000000000001, 87.4]","[array([32.47255649, 35.89637928, 39.32020206, 42.74402485, 46.16784763,
       48.69271164, 51.21757564, 53.74243965, 56.26730366, 58.36124763,
       60.45519161, 62.54913559, 64.64307957, 66.33248482, 68.02189007,
       69.71129532, 71.40070057]), array([50.86172993, 52.36172993, 53.86172993, 55.36172993, 56.86172993,
       58.36172993, 59.86172993, 61.36172993, 62.86172993, 64.36172993,
       65.86172993, 67.36172993, 68.86172993, 70.36172993, 71.86172993,
       73.36172993, 74.86172993])]","[[68.47645568847656, 30.0], [50.49728012084961, 30.0], [41.87887954711914, 30.0], [33.78810501098633, 30.0]]",[30],30.0,8,6,1,"[1, 2, 1]",pre
"[99.4, 99.45, 99.5, 99.55000000000001, 99.60000000000001, 99.65, 99.7, 99.75, 99.8, 99.85, 99.9, 99.95, 100.0, 100.05, 100.1, 100.15, 100.2, 100.25, 100.30000000000001, 100.35000000000001, 100.4, 100.45, 100.5, 100.55000000000001, 100.60000000000001, 100.65, 100.7, 100.75, 100.8]","[array([34.24341827, 34.60444489, 34.96547152, 35.32649814, 35.68752476,
       36.16941486, 36.65130497, 37.13319508, 37.61508518, 38.11948634,
       38.6238875 , 39.12828866, 39.63268982, 40.25447989, 40.87626997,
       41.49806004, 42.11985012, 42.62873116, 43.13761221, 43.64649325,
       44.1553743 , 44.63697463, 45.11857496, 45.60017529, 46.08177563,
       46.58015777, 47.07853991, 47.57692204, 48.07530418]), array([41.2033485, 42.7033485, 44.2033485, 45.7033485, 47.2033485,
       48.7033485, 50.2033485, 51.7033485, 53.2033485, 54.7033485,
       56.2033485, 57.7033485, 59.2033485, 60.7033485, 62.2033485,
       63.7033485, 65.2033485, 66.7033485, 68.2033485, 69.7033485,
       71.2033485, 72.7033485, 74.2033485, 75.7033485, 77.2033485,
       78.7033485, 80.2033485, 81.7033485, 83.2033485])]","[[7.220532417297363, 30.0], [9.637802124023438, 30.0], [10.08802318572998, 30.0], [12.43580150604248, 30.0], [10.177620887756348, 30.0], [9.632006645202637, 30.0], [9.967642784118652, 30.0]]",[30],30.0,9,6,1,"[1, 2, 1]",pre
