t_list,x_list,v0_scn,L_scn,n_scn,N. file,LWR_flag,processed
"[2.24, 2.29, 2.34, 2.39, 2.44, 2.49, 2.54, 2.59, 2.64, 2.6900000000000004, 2.74, 2.79, 2.8400000000000003]","[array([ 6.54115583,  8.08862013,  9.63622603, 11.18397271, 12.73185961,
       14.27988562, 15.8280502 , 17.37635261, 18.92479225, 20.47336813,
       22.02207968, 23.57092623, 25.119907  ]), array([50.17397751, 51.80017773, 53.42637795, 55.05257817, 56.67877839,
       58.30497861, 59.93117883, 61.55737905, 63.18357927, 64.80977949,
       66.43597971, 68.06217993, 69.68838015])]",32.52400440779791,2.114480066289242,0,1,Lin,pre
"[16.44, 16.490000000000002, 16.54, 16.59, 16.64, 16.69, 16.740000000000002, 16.79, 16.84]","[array([25.56044125, 26.8471916 , 28.13404136, 29.42098999, 30.70803712,
       31.99518223, 33.28242493, 34.56976469, 35.85720127]), array([67.38514058, 68.73645942, 70.08777825, 71.43909708, 72.79041591,
       74.14173475, 75.49305358, 76.84437241, 78.19569125])]",27.026376656007596,2.0,1,1,Lin,pre
"[33.440000000000005, 33.49, 33.540000000000006, 33.59, 33.64, 33.69, 33.74, 33.790000000000006, 33.84, 33.89, 33.94, 33.99, 34.04]","[array([29.01531893, 30.33136515, 31.64823598, 32.96592102, 34.28440822,
       35.60368707, 36.9237479 , 38.24458146, 39.5661767 , 40.88852354,
       42.21161329, 43.5354376 , 44.85998657]), array([69.69452004, 71.19452004, 72.69452004, 74.19452004, 75.69452004,
       77.19452004, 78.69452004, 80.19452004, 81.69452004, 83.19452004,
       84.69452004, 86.19452004, 87.69452004])]",30.0,5.0,2,1,Lin,pre
"[37.440000000000005, 37.49, 37.540000000000006, 37.59, 37.64, 37.69, 37.74, 37.790000000000006, 37.84, 37.89, 37.94, 37.99, 38.04, 38.09, 38.14, 38.19, 38.24]","[array([42.18965274, 43.43449131, 44.68247025, 45.93345099, 47.18730759,
       48.44392129, 49.70318461, 50.96499158, 52.22924673, 53.49585856,
       54.76474502, 56.0358227 , 57.30901726, 58.58425655, 59.86147593,
       61.14060903, 62.42159605]), array([55.90429569, 57.35976808, 58.81524047, 60.27071286, 61.72618525,
       63.18165764, 64.63713003, 66.09260242, 67.54807481, 69.00354721,
       70.4590196 , 71.91449199, 73.36996438, 74.82543677, 76.28090916,
       77.73638155, 79.19185394])]",29.109447823737298,2.0,3,1,Lin,pre
"[44.24, 44.290000000000006, 44.34, 44.39, 44.440000000000005, 44.49, 44.540000000000006, 44.59, 44.64, 44.69, 44.74, 44.790000000000006, 44.84]","[array([43.43569439, 44.76042962, 46.08598381, 47.41234413, 48.73949548,
       50.06742466, 51.3961198 , 52.72556967, 54.05576084, 55.3866809 ,
       56.71831938, 58.05066636, 59.38371007]), array([68.5852528 , 70.0543074 , 71.52336199, 72.99241659, 74.46147118,
       75.93052578, 77.39958037, 78.86863497, 80.33768956, 81.80674416,
       83.27579875, 84.74485335, 86.21390794])]",29.381091902483103,2.477765008828755,4,1,Lin,pre
"[52.84, 52.89, 52.940000000000005, 52.99000000000001, 53.040000000000006, 53.09, 53.14, 53.190000000000005, 53.24, 53.290000000000006, 53.34, 53.39, 53.440000000000005, 53.49, 53.540000000000006, 53.59, 53.64, 53.69, 53.74, 53.790000000000006, 53.84]","[array([46.99583421, 47.69797624, 48.68674663, 49.81924447, 51.04235441,
       52.32933687, 53.66447485, 55.03760644, 56.44170669, 57.87168242,
       59.32369705, 60.79478025, 62.28257415, 63.78517067, 65.30099722,
       66.82874201, 68.36729834, 69.91572061, 71.47319173, 73.03900203,
       74.6125306 ]), array([49.60394991, 51.48077357, 53.35759723, 55.23442089, 57.11124454,
       58.9880682 , 60.86489186, 62.74171551, 64.61853917, 66.49536283,
       68.37218649, 70.24901014, 72.1258338 , 74.00265746, 75.87948111,
       77.75630477, 79.63312843, 81.50995209, 83.38677574, 85.2635994 ,
       87.14042306])]",37.53647314336948,2.0,5,1,Lin,pre
"[54.84, 54.89, 54.940000000000005, 54.99000000000001, 55.040000000000006, 55.09, 55.14, 55.190000000000005, 55.24]","[array([58.27445507, 59.76336163, 61.25777635, 62.75737565, 64.26186762,
       65.77098672, 67.28449293, 68.80216137, 70.32378882]), array([71.11023112, 72.87055157, 74.63087202, 76.39119246, 78.15151291,
       79.91183336, 81.6721538 , 83.43247425, 85.1927947 ])]",35.206408938583806,2.0,6,1,Lin,pre
"[56.84, 56.89, 56.940000000000005, 56.99000000000001, 57.040000000000006, 57.09, 57.14, 57.190000000000005, 57.24, 57.290000000000006, 57.34, 57.39, 57.440000000000005, 57.49, 57.540000000000006, 57.59, 57.64]","[array([47.78469707, 49.04192384, 50.31457788, 51.60138861, 52.901252  ,
       54.2132005 , 55.53637832, 56.87002734, 58.21347115, 59.56610469,
       60.9273802 , 62.29680318, 63.67392445, 65.0583356 , 66.44966321,
       67.84756225, 69.25171745]), array([65.0349783 , 66.82363064, 68.61228298, 70.40093532, 72.18958766,
       73.97824001, 75.76689235, 77.55554469, 79.34419703, 81.13284937,
       82.92150171, 84.71015406, 86.4988064 , 88.28745874, 90.07611108,
       91.86476342, 93.65341577])]",35.77304683466431,5.204177387835342,7,1,Lin,pre
"[60.040000000000006, 60.09, 60.14, 60.190000000000005, 60.24, 60.290000000000006, 60.34, 60.39, 60.440000000000005, 60.49, 60.540000000000006, 60.59, 60.64, 60.69, 60.74, 60.790000000000006, 60.84]","[array([42.81567467, 44.20365533, 45.59280529, 46.98309912, 48.37451002,
       49.76701366, 51.16058768, 52.55520996, 53.95085663, 55.34750689,
       56.74514131, 58.14374118, 59.54328511, 60.94375487, 62.34513351,
       63.74740505, 65.15055058]), array([62.77276299, 64.31467268, 65.85658236, 67.39849204, 68.94040173,
       70.48231141, 72.02422109, 73.56613078, 75.10804046, 76.64995014,
       78.19185983, 79.73376951, 81.27567919, 82.81758888, 84.35949856,
       85.90140824, 87.44331793])]",30.838193667034858,2.0,8,1,Lin,pre
"[80.64, 80.69, 80.74000000000001, 80.79, 80.84, 80.89, 80.94, 80.99000000000001, 81.04, 81.09, 81.14000000000001, 81.19000000000001, 81.24000000000001, 81.29, 81.34, 81.39000000000001, 81.44000000000001, 81.49000000000001, 81.54, 81.59, 81.64]","[array([53.91217682, 55.01241695, 56.15935603, 57.34297409, 58.55638972,
       59.79463868, 61.05399562, 62.33158546, 63.62513182, 64.93279646,
       66.25306683, 67.58468334, 68.92658471, 70.2778654 , 71.6377435 ,
       73.00554048, 74.3806634 , 75.76259068, 77.15085908, 78.54505414,
       79.94480575]), array([59.55369954, 61.21499075, 62.87628196, 64.53757317, 66.19886438,
       67.8601556 , 69.52144681, 71.18273802, 72.84402923, 74.50532044,
       76.16661166, 77.82790287, 79.48919408, 81.15048529, 82.8117765 ,
       84.47306772, 86.13435893, 87.79565014, 89.45694135, 91.11823256,
       92.77952378])]",33.225824240451374,2.0,9,1,Lin,pre
