t_list,x_list,v_list,v0,n_scn,iter,mse,type,mse_mean,N. file,DOE,processed
"[108.84000000000002, 108.89000000000001, 108.94000000000001, 108.99000000000001, 109.04, 109.09, 109.14000000000001, 109.19000000000001, 109.24000000000001, 109.29, 109.34, 109.39000000000001, 109.44000000000001]","[array([54.84994721, 55.20761432, 55.56528144, 55.92294855, 56.28061566,
       56.80810513, 57.3355946 , 57.86308408, 58.39057355, 59.06413631,
       59.73769908, 60.41126184, 61.08482461]), array([58.56445969, 59.93659285, 61.30872601, 62.68085917, 64.05299233,
       65.29540099, 66.53780964, 67.7802183 , 69.02262696, 70.10888489,
       71.19514283, 72.28140076, 73.3676587 ]), array([72.09558373, 73.41701698, 74.73845022, 76.05988347, 77.38131672,
       78.70274996, 80.02418321, 81.34561646, 82.6670497 , 83.98848295,
       85.3099162 , 86.63134944, 87.95278269])]","[[7.153342247009277, 27.442663192749023, 26.428664935328452], [10.549789428710938, 24.848173141479492, 26.428664935328452], [13.4712553024292, 21.72515869140625, 26.428664935328452]]",26.428664935328452,3,15.0,4.445266840175762,train,42.32088782995077,8,"[1, 2, 1]",post
"[522.64, 522.6899999999999, 522.74, 522.79, 522.8399999999999, 522.8899999999999, 522.9399999999999, 522.99, 523.04]","[array([19.0733761 , 19.07303539, 19.07269469, 19.07235398, 19.07201327,
       19.0718085 , 19.07160372, 19.07139895, 19.07119417]), array([33.80940886, 33.80940728, 33.8094057 , 33.80940412, 33.80940254,
       33.80940164, 33.80940075, 33.80939986, 33.80939896]), array([69.70735711, 71.11583414, 72.52431117, 73.9327882 , 75.34126523,
       76.74974226, 78.15821929, 79.56669633, 80.97517336])]","[[-0.006814112421125174, -3.16061959892977e-05, 28.169540624100616], [-0.004095522221177816, -1.7873626347864047e-05, 28.169540624100616]]",28.169540624100616,18,15.0,9.827295001626736,train,42.32088782995077,8,"[1, 2, 1]",post
"[414.43999999999994, 414.48999999999995, 414.53999999999996, 414.59, 414.64, 414.69, 414.74, 414.78999999999996, 414.84]","[array([15.62518069, 15.62517801, 15.62517532, 15.62517263, 15.62516994,
       15.62516702, 15.6251641 , 15.62516117, 15.62515825]), array([49.2779378 , 49.27793127, 49.27792475, 49.27791823, 49.27791171,
       49.27790223, 49.27789275, 49.27788326, 49.27787378]), array([79.46040868, 80.67209081, 81.88377295, 83.09545508, 84.30713721,
       85.51881934, 86.73050147, 87.9421836 , 89.15386573])]","[[-5.375448381528258e-05, -0.0001304278412135318, 24.23364261029301], [-5.845848500030115e-05, -0.0001896448666229844, 24.23364261029301]]",24.23364261029301,16,15.0,25.59886897168852,train,42.32088782995077,8,"[1, 2, 1]",post
"[290.84000000000003, 290.89000000000004, 290.94000000000005, 290.99, 291.04, 291.09000000000003, 291.14, 291.19, 291.24, 291.29, 291.34000000000003, 291.39000000000004, 291.44000000000005]","[array([20.18738595, 20.18734331, 20.18730068, 20.18725804, 20.1872154 ,
       20.18719169, 20.18716797, 20.18714425, 20.18712053, 20.187106  ,
       20.18709147, 20.18707694, 20.18706241]), array([42.29365145, 42.29364915, 42.29364684, 42.29364453, 42.29364223,
       42.29364024, 42.29363825, 42.29363627, 42.29363428, 42.29363339,
       42.29363249, 42.2936316 , 42.29363071]), array([75.46593632, 76.87861294, 78.29128956, 79.70396619, 81.11664281,
       82.52931943, 83.94199606, 85.35467268, 86.7673493 , 88.18002593,
       89.59270255, 91.00537917, 92.4180558 ])]","[[-0.0008527290774509311, -4.6115568693494424e-05, 28.253532466651226], [-0.0004743932222481817, -3.974813444074243e-05, 28.253532466651226], [-0.0002906002919189632, -1.7849468349595554e-05, 28.253532466651226]]",28.253532466651226,13,15.0,26.65905349118638,train,42.32088782995077,8,"[1, 2, 1]",post
"[102.24000000000001, 102.29, 102.34, 102.39000000000001, 102.44000000000001, 102.49000000000001, 102.54000000000002, 102.59000000000002, 102.64000000000001, 102.69000000000001, 102.74000000000001, 102.79000000000002, 102.84000000000002, 102.89000000000001, 102.94000000000001, 102.99000000000001, 103.04]","[array([44.34172903, 44.3407645 , 44.33979998, 44.33883546, 44.33787094,
       44.33645658, 44.33504222, 44.33362786, 44.33221349, 44.32961764,
       44.32702179, 44.32442594, 44.32183009, 44.31947895, 44.31712781,
       44.31477667, 44.31242553]), array([53.47732555, 53.47674589, 53.47616622, 53.47558656, 53.4750069 ,
       53.47485972, 53.47471254, 53.47456535, 53.47441817, 53.47433793,
       53.4742577 , 53.47417746, 53.47409722, 53.47404538, 53.47399354,
       53.4739417 , 53.47388986]), array([64.39488833, 65.92036294, 67.44583755, 68.97131215, 70.49678676,
       72.02226137, 73.54773597, 75.07321058, 76.59868519, 78.12415979,
       79.6496344 , 81.17510901, 82.70058361, 84.22605822, 85.75153283,
       87.27700743, 88.80248204])]","[[-0.019290417432785034, -0.011593249626457691, 30.50949213175448], [-0.028287237510085106, -0.002943634521216154, 30.50949213175448], [-0.05191700533032417, -0.0016047786921262741, 30.50949213175448], [-0.04702283814549446, -0.0010367878712713718, 30.50949213175448]]",30.50949213175448,2,15.0,64.06612897371251,train,42.32088782995077,8,"[1, 2, 1]",post
"[237.64000000000001, 237.69, 237.74, 237.79000000000002, 237.84, 237.89, 237.94, 237.99, 238.04]","[array([34.19418497, 34.19418258, 34.1941802 , 34.19417782, 34.19417543,
       34.19417157, 34.19416771, 34.19416385, 34.19415999]), array([59.35351445, 59.35246222, 59.35140999, 59.35035776, 59.34930553,
       59.34899394, 59.34868235, 59.34837075, 59.34805916]), array([66.69507987, 68.18946775, 69.68385562, 71.17824349, 72.67263137,
       74.16701924, 75.66140711, 77.15579498, 78.65018286])]","[[-4.7675843234173954e-05, -0.02104456163942814, 29.88775745359135], [-7.722113514319062e-05, -0.0062318649142980576, 29.88775745359135]]",29.88775745359135,9,15.0,10.468415766226514,train,42.32088782995077,8,"[1, 2, 1]",post
"[256.44000000000005, 256.49000000000007, 256.5400000000001, 256.59000000000003, 256.64000000000004, 256.69000000000005, 256.74, 256.79, 256.84000000000003, 256.89000000000004, 256.94000000000005, 256.99, 257.04, 257.09000000000003, 257.14, 257.19, 257.24]","[array([44.43890326, 44.44955791, 44.46021256, 44.47086721, 44.48152187,
       44.4880623 , 44.49460273, 44.50114316, 44.50768359, 44.51420133,
       44.52071907, 44.52723681, 44.53375455, 44.53560146, 44.53744838,
       44.53929529, 44.54114221]), array([44.45345172, 44.46252525, 44.47159878, 44.4806723 , 44.48974583,
       44.48994653, 44.49014723, 44.49034793, 44.49054863, 44.49014401,
       44.4897394 , 44.48933479, 44.48893018, 44.48853511, 44.48814004,
       44.48774496, 44.48734989]), array([44.63945743, 44.63945698, 44.63945654, 44.63945609, 44.63945564,
       44.63945501, 44.63945438, 44.63945376, 44.63945313, 44.63945213,
       44.63945113, 44.63945013, 44.63944913, 44.63944793, 44.63944673,
       44.63944553, 44.63944433]), array([66.85510776, 68.16267667, 69.47024558, 70.7778145 , 72.08538341,
       73.39295232, 74.70052123, 76.00809015, 77.31565906, 78.62322797,
       79.93079688, 81.2383658 , 82.54593471, 83.85350362, 85.16107253,
       86.46864145, 87.77621036])]","[[0.21309304237365723, 0.18147054314613342, -8.947315109253395e-06, 26.151378251028998], [0.13080860674381256, 0.004013977944850922, -1.2566936675284524e-05, 26.151378251028998], [0.13035479187965393, -0.008092216216027737, -1.999873529712204e-05, 26.151378251028998], [0.03693832829594612, -0.007901448756456375, -2.3967000743141398e-05, 26.151378251028998]]",26.151378251028998,20,15.0,48.76651406041615,train,42.32088782995077,8,"[1, 2, 1]",post
"[130.04, 130.09, 130.14, 130.19, 130.24, 130.29000000000002, 130.34, 130.39, 130.44]","[array([33.52257836, 33.52257836, 33.52257836, 33.52257836, 33.52257836,
       33.52257836, 33.52257836, 33.52257836, 33.52257836]), array([70.299416  , 70.29921204, 70.29900807, 70.29880411, 70.29860015,
       70.29855178, 70.29850341, 70.29845504, 70.29840668]), array([77.15612947, 78.86501422, 80.57389896, 82.28278371, 83.99166846,
       85.7005532 , 87.40943795, 89.1183227 , 90.82720744])]","[[-1.3210263105634112e-08, -0.004079266916960478, 34.17769492487292], [-1.5845870393604855e-08, -0.0009673627791926265, 34.17769492487292]]",34.17769492487292,4,15.0,25.16310954001995,train,42.32088782995077,8,"[1, 2, 1]",post
"[251.64000000000001, 251.69, 251.74, 251.79000000000002, 251.84, 251.89, 251.94, 251.99, 252.04, 252.09, 252.14, 252.19, 252.24, 252.29000000000002, 252.34, 252.39, 252.44, 252.49, 252.54000000000002, 252.59, 252.64000000000001]","[array([22.20522727, 22.20522727, 22.20522727, 22.20522727, 22.20522727,
       22.20522727, 22.20522727, 22.20522727, 22.20522727, 22.20522727,
       22.20522727, 22.20522727, 22.20522727, 22.20522727, 22.20522727,
       22.20522727, 22.20522727, 22.20522727, 22.20522727, 22.20522727,
       22.20522727]), array([65.14310879, 65.14345537, 65.14380194, 65.14414852, 65.14449509,
       65.1447805 , 65.1450659 , 65.14535131, 65.14563671, 65.14572608,
       65.14581545, 65.14590482, 65.14599419, 65.14599176, 65.14598933,
       65.14598689, 65.14598446, 65.14593292, 65.14588139, 65.14582986,
       65.14577833]), array([68.68525952, 69.99301146, 71.30076341, 72.60851535, 73.91626729,
       75.22401923, 76.53177118, 77.83952312, 79.14727506, 80.45502701,
       81.76277895, 83.07053089, 84.37828283, 85.68603478, 86.99378672,
       88.30153866, 89.6092906 , 90.91704255, 92.22479449, 93.53254643,
       94.84029838])]","[[-1.2417689099208928e-10, 0.006931492127478123, 26.155038854980965], [-9.324033212187999e-11, 0.00570810679346323, 26.155038854980965], [-1.170128716143637e-10, 0.0017874152399599552, 26.155038854980965], [-1.7168513832821475e-10, -4.8698391765356064e-05, 26.155038854980965], [-2.524808695447689e-10, -0.001030649058520794, 26.155038854980965]]",26.155038854980965,12,15.0,78.83303200429442,train,42.32088782995077,8,"[1, 2, 1]",post
"[225.24, 225.29000000000002, 225.34, 225.39, 225.44, 225.49, 225.54000000000002, 225.59, 225.64000000000001, 225.69, 225.74, 225.79000000000002, 225.84, 225.89, 225.94, 225.99, 226.04, 226.09, 226.14, 226.19, 226.24]","[array([35.10710391, 35.10709943, 35.10709496, 35.10709048, 35.107086  ,
       35.10707651, 35.10706701, 35.10705751, 35.10704802, 35.1070264 ,
       35.10700479, 35.10698318, 35.10696156, 35.10691901, 35.10687646,
       35.10683391, 35.10679136, 35.1069059 , 35.10702044, 35.10713498,
       35.10724952]), array([48.35795769, 48.35795763, 48.35795757, 48.35795751, 48.35795745,
       48.35795744, 48.35795742, 48.3579574 , 48.35795738, 48.35795737,
       48.35795737, 48.35795736, 48.35795736, 48.35795735, 48.35795735,
       48.35795735, 48.35795735, 48.35795735, 48.35795735, 48.35795734,
       48.35795734]), array([71.01349684, 72.19501387, 73.37653091, 74.55804794, 75.73956497,
       76.921082  , 78.10259903, 79.28411606, 80.46563309, 81.64715012,
       82.82866715, 84.01018418, 85.19170122, 86.37321825, 87.55473528,
       88.73625231, 89.91776934, 91.09928637, 92.2808034 , 93.46232043,
       94.64383746])]","[[-8.951254130806774e-05, -1.1766323950723745e-06, 23.630340619869084], [-0.00018994002311956137, -3.675295374705456e-07, 23.630340619869084], [-0.00043226644629612565, -1.2553104511425772e-07, 23.630340619869084], [-0.0008510311599820852, -4.383620577641523e-08, 23.630340619869084], [0.00229079881682992, -1.5296505395667737e-08, 23.630340619869084]]",23.630340619869084,7,15.0,35.051629202585815,train,42.32088782995077,8,"[1, 2, 1]",post
