t_list,x_list,v_list,v0,n_scn,iter,mse,type,mse_mean,N. file,DOE,processed
"[239.44, 239.49, 239.54, 239.58999999999997, 239.64, 239.69, 239.74, 239.79, 239.84, 239.89, 239.94, 239.99, 240.04, 240.09, 240.14, 240.19, 240.24]","[array([39.95957801, 41.9337487 , 43.90791938, 45.88209007, 47.85626075,
       49.68349979, 51.51073882, 53.33797786, 55.1652169 , 56.73080289,
       58.29638889, 59.86197488, 61.42756088, 62.8626724 , 64.29778392,
       65.73289544, 67.16800697]), array([61.26865033, 62.55668546, 63.84472058, 65.13275571, 66.42079084,
       67.70882596, 68.99686109, 70.28489622, 71.57293135, 72.86096647,
       74.1490016 , 75.43703673, 76.72507185, 78.01310698, 79.30114211,
       80.58917724, 81.87721236])]","[[39.48341369628906, 25.76070254430201], [36.54478073120117, 25.76070254430201], [31.31171989440918, 25.76070254430201], [28.70223045349121, 25.76070254430201]]",25.426381424530017,28,500.0,1.4531209467906976,train,0.5587260530280083,1,"[1, 10, 1]",pre
"[310.84, 310.89, 310.93999999999994, 310.98999999999995, 311.03999999999996, 311.09, 311.14, 311.18999999999994, 311.23999999999995]","[array([57.56243538, 59.37085099, 61.17926659, 62.98768219, 64.7960978 ,
       66.5253096 , 68.25452141, 69.98373322, 71.71294502]), array([74.62191372, 76.03890745, 77.45590117, 78.8728949 , 80.28988862,
       81.70688235, 83.12387607, 84.54086979, 85.95786352])]","[[36.168312072753906, 28.339874490952024], [34.58423614501953, 28.339874490952024]]",28.339874490952024,40,350.0,0.23575057704769153,train,0.5587260530280083,1,"[1, 10, 1]",pre
"[52.84, 52.89, 52.940000000000005, 52.99000000000001, 53.040000000000006, 53.09, 53.14, 53.190000000000005, 53.24, 53.290000000000006, 53.34, 53.39, 53.440000000000005, 53.49, 53.540000000000006, 53.59, 53.64, 53.69, 53.74, 53.790000000000006, 53.84]","[array([46.99583421, 48.4921208 , 49.98840738, 51.48469396, 52.98098055,
       54.3695376 , 55.75809465, 57.1466517 , 58.53520876, 59.86294475,
       61.19068075, 62.51841674, 63.84615274, 65.10135542, 66.35655809,
       67.61176077, 68.86696344, 70.2595533 , 71.65214315, 73.04473301,
       74.43732286]), array([49.60394991, 51.39959103, 53.19523215, 54.99087327, 56.78651439,
       58.5821555 , 60.37779662, 62.17343774, 63.96907886, 65.76471997,
       67.56036109, 69.35600221, 71.15164333, 72.94728444, 74.74292556,
       76.53856668, 78.3342078 , 80.12984892, 81.92549003, 83.72113115,
       85.51677227])]","[[29.925731658935547, 35.912822353566604], [27.771141052246094, 35.912822353566604], [26.554719924926758, 35.912822353566604], [25.104053497314453, 35.912822353566604], [27.851797103881836, 35.912822353566604]]",35.9128223540259,5,500.0,1.250386270013988,train,0.5587260530280083,1,"[1, 10, 1]",pre
"[362.84, 362.89, 362.93999999999994, 362.98999999999995, 363.03999999999996, 363.09, 363.14, 363.19, 363.24, 363.28999999999996, 363.34, 363.39, 363.43999999999994, 363.48999999999995, 363.53999999999996, 363.59, 363.64, 363.69, 363.74, 363.78999999999996, 363.84, 363.89, 363.93999999999994, 363.98999999999995, 364.03999999999996]","[array([ 6.42715625,  8.02823886,  9.62932147, 11.23040408, 12.83148669,
       15.1600212 , 17.48855571, 19.81709021, 22.14562472, 23.73261746,
       25.3196102 , 26.90660294, 28.49359568, 29.87164067, 31.24968566,
       32.62773065, 34.00577563, 35.4739396 , 36.94210357, 38.41026753,
       39.8784315 , 41.48412494, 43.08981837, 44.69551181, 46.30120524]), array([57.11438368, 58.62816589, 60.1419481 , 61.6557303 , 63.16951251,
       64.68329472, 66.19707692, 67.71085913, 69.22464133, 70.73842354,
       72.25220575, 73.76598795, 75.27977016, 76.79355237, 78.30733457,
       79.82111678, 81.33489899, 82.84868119, 84.3624634 , 85.87624561,
       87.39002781, 88.90381002, 90.41759223, 91.93137443, 93.44515664])]","[[32.02165222167969, 30.275644129822393], [46.5706901550293, 30.275644129822393], [31.73985481262207, 30.275644129822393], [27.56089973449707, 30.275644129822393], [29.363279342651367, 30.275644129822393], [32.113868713378906, 30.275644129822393]]",30.313976428341373,53,500.0,3.385250068686453,train,0.5587260530280083,1,"[1, 10, 1]",pre
"[444.24, 444.28999999999996, 444.34, 444.39, 444.43999999999994, 444.48999999999995, 444.53999999999996, 444.59, 444.64, 444.69, 444.74, 444.78999999999996, 444.84, 444.89, 444.93999999999994, 444.98999999999995, 445.03999999999996, 445.09, 445.14, 445.19, 445.24]","[array([47.60987183, 48.76190697, 49.91394211, 51.06597725, 52.21801239,
       53.35782877, 54.49764515, 55.63746153, 56.77727791, 57.9367827 ,
       59.0962875 , 60.25579229, 61.41529709, 62.58116766, 63.74703823,
       64.9129088 , 66.07877937, 67.23744703, 68.39611469, 69.55478235,
       70.71345001]), array([53.8481793 , 55.27292795, 56.69767661, 58.12242526, 59.54717392,
       60.97192257, 62.39667123, 63.82141988, 65.24616854, 66.67091719,
       68.09566585, 69.5204145 , 70.94516316, 72.36991181, 73.79466047,
       75.21940912, 76.64415778, 78.06890643, 79.49365509, 80.91840374,
       82.34315239])]","[[23.04070281982422, 28.494973095574913], [22.796327590942383, 28.494973095574913], [23.190095901489258, 28.494973095574913], [23.317411422729492, 28.494973095574913], [23.17335319519043, 28.494973095574913]]",28.494973095574913,62,500.0,0.2558807677072541,train,0.5587260530280083,1,"[1, 10, 1]",pre
"[307.23999999999995, 307.28999999999996, 307.34, 307.39, 307.44, 307.49, 307.53999999999996, 307.59, 307.64]","[array([55.85629355, 57.34224393, 58.8281943 , 60.31414468, 61.80009505,
       63.25725962, 64.7144242 , 66.17158877, 67.62875334]), array([72.33364086, 73.72729906, 75.12095726, 76.51461547, 77.90827367,
       79.30193187, 80.69559008, 82.08924828, 83.48290649])]","[[29.71900749206543, 27.873164074053975], [29.143291473388672, 27.873164074053975]]",27.87316406556783,39,500.0,0.07998696848210063,train,0.5587260530280083,1,"[1, 10, 1]",pre
"[294.64, 294.69, 294.74, 294.78999999999996, 294.84, 294.89, 294.94, 294.99, 295.04, 295.09000000000003, 295.14, 295.19, 295.24]","[array([ 7.30515684,  8.53988652,  9.77461619, 11.00934586, 12.24407553,
       13.50671133, 14.76934714, 16.03198294, 17.29461874, 18.57676377,
       19.85890879, 21.14105381, 22.42319884]), array([58.25850137, 59.85413094, 61.44976051, 63.04539008, 64.64101964,
       66.23664921, 67.83227878, 69.42790835, 71.02353791, 72.61916748,
       74.21479705, 75.81042662, 77.40605619])]","[[24.69459342956543, 31.912591353279158], [25.252716064453125, 31.912591353279158], [25.642900466918945, 31.912591353279158]]",31.912591419185986,35,500.0,0.9811203150617305,train,0.5587260530280083,1,"[1, 10, 1]",pre
"[130.64, 130.69, 130.74, 130.79, 130.84, 130.89, 130.94, 130.99, 131.04, 131.08999999999997, 131.14, 131.19, 131.23999999999998, 131.29, 131.33999999999997, 131.39, 131.44]","[array([40.81361736, 42.03418621, 43.25475506, 44.4753239 , 45.69589275,
       47.0908482 , 48.48580364, 49.88075908, 51.27571453, 52.92054657,
       54.56537861, 56.21021065, 57.85504268, 59.13009475, 60.40514683,
       61.6801989 , 62.95525097]), array([60.91780746, 62.54022239, 64.16263731, 65.78505223, 67.40746715,
       69.02988208, 70.652297  , 72.27471192, 73.89712684, 75.51954177,
       77.14195669, 78.76437161, 80.38678653, 82.00920145, 83.63161638,
       85.2540313 , 86.87644622])]","[[24.411376953125, 32.44829844676471], [27.89910888671875, 32.44829844676471], [32.89664077758789, 32.44829844676471], [25.501041412353516, 32.44829844676471]]",33.61924590429456,16,500.0,1.1794618393427687,train,0.5587260530280083,1,"[1, 10, 1]",pre
"[496.84, 496.89, 496.93999999999994, 496.98999999999995, 497.03999999999996, 497.09, 497.14, 497.19, 497.24, 497.29, 497.34000000000003, 497.39, 497.44, 497.49, 497.53999999999996, 497.59, 497.64]","[array([32.92039697, 33.81474922, 34.70910146, 35.60345371, 36.49780595,
       37.39278686, 38.28776777, 39.18274867, 40.07772958, 40.95154311,
       41.82535665, 42.69917018, 43.57298372, 44.56313722, 45.55329072,
       46.54344423, 47.53359773]), array([53.80017695, 54.72365918, 55.64714141, 56.57062364, 57.49410586,
       58.38268819, 59.27127051, 60.15985284, 61.04843516, 61.90047688,
       62.75251861, 63.60456033, 64.45660205, 65.39891572, 66.34122939,
       67.28354306, 68.22585673]), array([60.06827863, 61.2518298 , 62.43538096, 63.61893212, 64.80248328,
       65.98603445, 67.16958561, 68.35313677, 69.53668793, 70.7202391 ,
       71.90379026, 73.08734142, 74.27089258, 75.45444374, 76.63799491,
       77.82154607, 79.00509723])]","[[17.88704490661621, 18.46964454650879, 23.6710232463377], [17.89961814880371, 17.77164649963379, 23.6710232463377], [17.47627067565918, 17.040834426879883, 23.6710232463377], [19.803070068359375, 18.84627342224121, 23.6710232463377]]",23.67102213011825,103,500.0,0.5214771121435829,train,0.5587260530280083,1,"[1, 10, 1]",pre
"[291.64, 291.69, 291.74, 291.78999999999996, 291.84, 291.89, 291.94, 291.99, 292.04, 292.09000000000003, 292.14, 292.19, 292.24, 292.29, 292.34000000000003, 292.39, 292.44, 292.49, 292.53999999999996, 292.59, 292.64]","[array([19.85343535, 21.72411368, 23.59479201, 25.46547034, 27.33614867,
       29.24237864, 31.14860861, 33.05483859, 34.96106856, 36.83016398,
       38.6992594 , 40.56835482, 42.43745024, 44.25842993, 46.07940962,
       47.90038931, 49.72136901, 51.4446234 , 53.16787779, 54.89113219,
       56.61438658]), array([48.19389501, 49.85564392, 51.51739282, 53.17914172, 54.84089063,
       56.50263953, 58.16438844, 59.82613734, 61.48788624, 63.14963515,
       64.81138405, 66.47313296, 68.13488186, 69.79663077, 71.45837967,
       73.12012857, 74.78187748, 76.44362638, 78.10537529, 79.76712419,
       81.42887309])]","[[37.41356658935547, 33.23497808157844], [38.12459945678711, 33.23497808157844], [37.38190841674805, 33.23497808157844], [36.419593811035156, 33.23497808157844], [34.465087890625, 33.23497808157844]]",34.11909568875032,34,500.0,0.7440560050416197,train,0.5587260530280083,1,"[1, 10, 1]",pre
