t_list,x_list,v0_scn,L_scn,n_scn,N. file,LWR_flag
"[2.24, 2.29, 2.34, 2.39, 2.44, 2.49, 2.54, 2.59, 2.64, 2.6900000000000004, 2.74, 2.79, 2.8400000000000003]","[array([ 6.54115583,  8.08862013,  9.63622603, 11.18397271, 12.73185961,
       14.27988562, 15.8280502 , 17.37635261, 18.92479225, 20.47336813,
       22.02207968, 23.57092623, 25.119907  ]), array([50.17397751, 51.80017773, 53.42637795, 55.05257817, 56.67877839,
       58.30497861, 59.93117883, 61.55737905, 63.18357927, 64.80977949,
       66.43597971, 68.06217993, 69.68838015])]",32.52400440779791,2.114480066289242,0,1,Lin
"[16.44, 16.490000000000002, 16.54, 16.59, 16.64, 16.69, 16.740000000000002, 16.79, 16.84]","[array([25.56044125, 26.84719157, 28.1340413 , 29.4209899 , 30.708037  ,
       31.99518208, 33.28242475, 34.56976448, 35.85720102]), array([67.38514058, 68.73645938, 70.08777818, 71.43909699, 72.79041579,
       74.14173459, 75.49305339, 76.84437219, 78.19569099])]",27.02637601556568,2.0,1,1,Lin
"[33.440000000000005, 33.49, 33.540000000000006, 33.59, 33.64, 33.69, 33.74, 33.790000000000006, 33.84, 33.89, 33.94, 33.99, 34.04]","[array([29.01531893, 30.33136515, 31.64823598, 32.96592102, 34.28440822,
       35.60368707, 36.9237479 , 38.24458146, 39.5661767 , 40.88852354,
       42.21161329, 43.5354376 , 44.85998657]), array([69.69452004, 71.19452004, 72.69452004, 74.19452004, 75.69452004,
       77.19452004, 78.69452004, 80.19452004, 81.69452004, 83.19452004,
       84.69452004, 86.19452004, 87.69452004])]",30.0,5.0,2,1,Lin
"[37.440000000000005, 37.49, 37.540000000000006, 37.59, 37.64, 37.69, 37.74, 37.790000000000006, 37.84, 37.89, 37.94, 37.99, 38.04, 38.09, 38.14, 38.19, 38.24]","[array([42.18965274, 43.43449131, 44.68247025, 45.93345099, 47.18730759,
       48.44392129, 49.70318461, 50.96499158, 52.22924673, 53.49585856,
       54.76474502, 56.0358227 , 57.30901726, 58.58425655, 59.86147593,
       61.14060903, 62.42159605]), array([55.90429569, 57.35976808, 58.81524047, 60.27071286, 61.72618525,
       63.18165764, 64.63713003, 66.09260242, 67.54807481, 69.00354721,
       70.4590196 , 71.91449199, 73.36996438, 74.82543677, 76.28090916,
       77.73638155, 79.19185394])]",29.109447823737298,2.0,3,1,Lin
"[44.24, 44.290000000000006, 44.34, 44.39, 44.440000000000005, 44.49, 44.540000000000006, 44.59, 44.64, 44.69, 44.74, 44.790000000000006, 44.84]","[array([43.43569439, 44.76042962, 46.08598381, 47.41234413, 48.73949548,
       50.06742466, 51.3961198 , 52.72556967, 54.05576084, 55.3866809 ,
       56.71831938, 58.05066636, 59.38371007]), array([68.5852528 , 70.0543074 , 71.52336199, 72.99241659, 74.46147118,
       75.93052578, 77.39958037, 78.86863497, 80.33768956, 81.80674416,
       83.27579875, 84.74485335, 86.21390794])]",29.381091902483103,2.477765008828755,4,1,Lin
"[52.84, 52.89, 52.940000000000005, 52.99000000000001, 53.040000000000006, 53.09, 53.14, 53.190000000000005, 53.24, 53.290000000000006, 53.34, 53.39, 53.440000000000005, 53.49, 53.540000000000006, 53.59, 53.64, 53.69, 53.74, 53.790000000000006, 53.84]","[array([46.99583421, 47.69797618, 48.68674649, 49.81924424, 51.04235408,
       52.32933645, 53.66447432, 55.03760581, 56.44170595, 57.87168157,
       59.3236961 , 60.79477919, 62.28257298, 63.78516939, 65.30099583,
       66.82874051, 68.36729673, 69.91571889, 71.4731899 , 73.03900009,
       74.61252855]), array([49.60394991, 51.48077345, 53.35759698, 55.23442052, 57.11124405,
       58.98806759, 60.86489112, 62.74171466, 64.61853819, 66.49536173,
       68.37218526, 70.2490088 , 72.12583233, 74.00265587, 75.8794794 ,
       77.75630294, 79.63312647, 81.50995001, 83.38677354, 85.26359708,
       87.14042061])]",37.536470697145965,2.0,5,1,Lin
"[54.84, 54.89, 54.940000000000005, 54.99000000000001, 55.040000000000006, 55.09, 55.14, 55.190000000000005, 55.24]","[array([58.27445507, 59.76336163, 61.25777635, 62.75737565, 64.26186762,
       65.77098672, 67.28449293, 68.80216137, 70.32378882]), array([71.11023112, 72.87055157, 74.63087202, 76.39119246, 78.15151291,
       79.91183336, 81.6721538 , 83.43247425, 85.1927947 ])]",35.206408938583806,2.0,6,1,Lin
"[56.84, 56.89, 56.940000000000005, 56.99000000000001, 57.040000000000006, 57.09, 57.14, 57.190000000000005, 57.24, 57.290000000000006, 57.34, 57.39, 57.440000000000005, 57.49, 57.540000000000006, 57.59, 57.64]","[array([47.78469707, 49.04191999, 50.31457058, 51.6013782 , 52.90123877,
       54.21318473, 55.53636024, 56.87000718, 58.21344911, 59.56608094,
       60.92735491, 62.29677651, 63.67389652, 65.05830655, 66.44963317,
       67.84753132, 69.25168574]), array([65.0349783 , 66.82363366, 68.61228902, 70.40094438, 72.18959975,
       73.97825511, 75.76691047, 77.55556583, 79.34422119, 81.13287656,
       82.92153192, 84.71018728, 86.49884264, 88.28749801, 90.07615337,
       91.86480873, 93.65346409])]",35.77310724351254,5.204236840393343,7,1,Lin
"[60.040000000000006, 60.09, 60.14, 60.190000000000005, 60.24, 60.290000000000006, 60.34, 60.39, 60.440000000000005, 60.49, 60.540000000000006, 60.59, 60.64, 60.69, 60.74, 60.790000000000006, 60.84]","[array([42.81567467, 44.20365533, 45.59280529, 46.98309912, 48.37451002,
       49.76701366, 51.16058768, 52.55520996, 53.95085663, 55.34750689,
       56.74514131, 58.14374118, 59.54328511, 60.94375487, 62.34513351,
       63.74740505, 65.15055058]), array([62.77276299, 64.31467268, 65.85658236, 67.39849204, 68.94040173,
       70.48231141, 72.02422109, 73.56613078, 75.10804046, 76.64995014,
       78.19185983, 79.73376951, 81.27567919, 82.81758888, 84.35949856,
       85.90140824, 87.44331793])]",30.838193667034858,2.0,8,1,Lin
"[80.64, 80.69, 80.74000000000001, 80.79, 80.84, 80.89, 80.94, 80.99000000000001, 81.04, 81.09, 81.14000000000001, 81.19000000000001, 81.24000000000001, 81.29, 81.34, 81.39000000000001, 81.44000000000001, 81.49000000000001, 81.54, 81.59, 81.64]","[array([53.91217682, 55.01241695, 56.15935603, 57.34297409, 58.55638972,
       59.79463868, 61.05399562, 62.33158546, 63.62513182, 64.93279646,
       66.25306683, 67.58468334, 68.92658471, 70.2778654 , 71.6377435 ,
       73.00554048, 74.3806634 , 75.76259068, 77.15085908, 78.54505414,
       79.94480575]), array([59.55369954, 61.21499075, 62.87628196, 64.53757317, 66.19886438,
       67.8601556 , 69.52144681, 71.18273802, 72.84402923, 74.50532044,
       76.16661166, 77.82790287, 79.48919408, 81.15048529, 82.8117765 ,
       84.47306772, 86.13435893, 87.79565014, 89.45694135, 91.11823256,
       92.77952378])]",33.225824240451374,2.0,9,1,Lin
