t_list,x_list,v_list,v0,n_scn,iter,mse,type,mse_mean,N. file,DOE,processed
"[239.44, 239.49, 239.54, 239.58999999999997, 239.64, 239.69, 239.74, 239.79, 239.84, 239.89, 239.94, 239.99, 240.04, 240.09, 240.14, 240.19, 240.24]","[array([39.95957801, 41.7781472 , 43.59671638, 45.41528556, 47.23385475,
       48.99750259, 50.76115043, 52.52479827, 54.28844611, 56.06742294,
       57.84639976, 59.62537658, 61.4043534 , 63.23315093, 65.06194846,
       66.890746  , 68.71954353]), array([61.26865033, 62.57090443, 63.87315853, 65.17541263, 66.47766674,
       67.77992084, 69.08217494, 70.38442904, 71.68668314, 72.98893725,
       74.29119135, 75.59344545, 76.89569955, 78.19795366, 79.50020776,
       80.80246186, 82.10471596])]","[[36.37138366699219, 26.04508204180506], [35.27295684814453, 26.04508204180506], [35.57953643798828, 26.04508204180506], [36.575950622558594, 26.04508204180506]]",25.426381424530618,28,500.0,0.6950378995677224,train,0.6197393245850501,1,"[1, 2, 2, 1]",pre
"[310.84, 310.89, 310.93999999999994, 310.98999999999995, 311.03999999999996, 311.09, 311.14, 311.18999999999994, 311.23999999999995]","[array([57.56243538, 59.33186077, 61.10128617, 62.87071156, 64.64013695,
       66.41012825, 68.18011956, 69.95011086, 71.72010216]), array([74.62191372, 76.03901293, 77.45611213, 78.87321134, 80.29031054,
       81.70740975, 83.12450896, 84.54160816, 85.95870737])]","[[35.38850784301758, 28.341984109199604], [35.39982604980469, 28.341984109199604]]",28.339874490953317,40,350.0,0.2414878301260064,train,0.6197393245850501,1,"[1, 2, 2, 1]",pre
"[52.84, 52.89, 52.940000000000005, 52.99000000000001, 53.040000000000006, 53.09, 53.14, 53.190000000000005, 53.24, 53.290000000000006, 53.34, 53.39, 53.440000000000005, 53.49, 53.540000000000006, 53.59, 53.64, 53.69, 53.74, 53.790000000000006, 53.84]","[array([46.99583421, 48.40384737, 49.81186052, 51.21987367, 52.62788683,
       54.01221624, 55.39654565, 56.78087507, 58.16520448, 59.53930994,
       60.91341539, 62.28752084, 63.6616263 , 65.00925098, 66.35687566,
       67.70450035, 69.05212503, 70.41276909, 71.77341314, 73.13405719,
       74.49470125]), array([49.60394991, 51.39959103, 53.19523215, 54.99087327, 56.78651439,
       58.5821555 , 60.37779662, 62.17343774, 63.96907886, 65.76471997,
       67.56036109, 69.35600221, 71.15164333, 72.94728444, 74.74292556,
       76.53856668, 78.3342078 , 80.12984892, 81.92549003, 83.72113115,
       85.51677227])]","[[28.160263061523438, 35.912822353566604], [27.686588287353516, 35.912822353566604], [27.48210906982422, 35.912822353566604], [26.95249366760254, 35.912822353566604], [27.212881088256836, 35.912822353566604]]",35.9128223540259,5,500.0,1.147241467088139,train,0.6197393245850501,1,"[1, 2, 2, 1]",pre
"[362.84, 362.89, 362.93999999999994, 362.98999999999995, 363.03999999999996, 363.09, 363.14, 363.19, 363.24, 363.28999999999996, 363.34, 363.39, 363.43999999999994, 363.48999999999995, 363.53999999999996, 363.59, 363.64, 363.69, 363.74, 363.78999999999996, 363.84, 363.89, 363.93999999999994, 363.98999999999995, 364.03999999999996]","[array([ 6.42715625,  8.10661868,  9.78608111, 11.46554355, 13.14500598,
       14.82712268, 16.50923938, 18.19135608, 19.87347278, 21.55489539,
       23.23631801, 24.91774062, 26.59916324, 28.2795246 , 29.95988597,
       31.64024733, 33.3206087 , 35.00044269, 36.68027667, 38.36011065,
       40.03994464, 41.71978473, 43.39962481, 45.0794649 , 46.75930499]), array([57.11438368, 58.6300825 , 60.14578133, 61.66148015, 63.17717897,
       64.69287779, 66.20857661, 67.72427543, 69.23997425, 70.75567308,
       72.2713719 , 73.78707072, 75.30276954, 76.81846836, 78.33416718,
       79.849866  , 81.36556483, 82.88126365, 84.39696247, 85.91266129,
       87.42836011, 88.94405893, 90.45975775, 91.97545658, 93.4911554 ])]","[[33.58924865722656, 30.31397642832707], [33.642333984375, 30.31397642832707], [33.62845230102539, 30.31397642832707], [33.60722732543945, 30.31397642832707], [33.5966796875, 30.31397642832707], [33.5968017578125, 30.31397642832707]]",30.31397642834165,53,500.0,4.205631313554281,train,0.6197393245850501,1,"[1, 2, 2, 1]",pre
"[444.24, 444.28999999999996, 444.34, 444.39, 444.43999999999994, 444.48999999999995, 444.53999999999996, 444.59, 444.64, 444.69, 444.74, 444.78999999999996, 444.84, 444.89, 444.93999999999994, 444.98999999999995, 445.03999999999996, 445.09, 445.14, 445.19, 445.24]","[array([47.60987183, 48.75438019, 49.89888855, 51.04339691, 52.18790527,
       53.34661985, 54.50533443, 55.66404901, 56.8227636 , 58.00294949,
       59.18313538, 60.36332127, 61.54350716, 62.72717272, 63.91083828,
       65.09450384, 66.2781694 , 67.3927179 , 68.50726639, 69.62181488,
       70.73636337]), array([53.8481793 , 55.27292795, 56.69767661, 58.12242526, 59.54717392,
       60.97192257, 62.39667123, 63.82141988, 65.24616854, 66.67091719,
       68.09566585, 69.5204145 , 70.94516316, 72.36991181, 73.79466047,
       75.21940912, 76.64415778, 78.06890643, 79.49365509, 80.91840374,
       82.3431524 ])]","[[22.890167236328125, 28.494973097234165], [23.174291610717773, 28.494973097234165], [23.603717803955078, 28.494973097234165], [23.673311233520508, 28.494973097234165], [22.290969848632812, 28.494973097234165]]",28.494973095575055,62,500.0,0.2421351652623615,train,0.6197393245850501,1,"[1, 2, 2, 1]",pre
"[307.23999999999995, 307.28999999999996, 307.34, 307.39, 307.44, 307.49, 307.53999999999996, 307.59, 307.64]","[array([55.85629355, 57.18769881, 58.51910407, 59.85050933, 61.18191458,
       62.75969331, 64.33747203, 65.91525075, 67.49302947]), array([72.33364086, 73.72729906, 75.12095726, 76.51461547, 77.90827367,
       79.30193187, 80.69559008, 82.08924828, 83.48290649])]","[[26.62810516357422, 27.87316407405338], [31.555574417114258, 27.87316407405338]]",27.873164065568336,39,500.0,0.2765977467509235,train,0.6197393245850501,1,"[1, 2, 2, 1]",pre
"[294.64, 294.69, 294.74, 294.78999999999996, 294.84, 294.89, 294.94, 294.99, 295.04, 295.09000000000003, 295.14, 295.19, 295.24]","[array([ 7.30515684,  8.5412538 ,  9.77735075, 11.01344771, 12.24954466,
       13.49154887, 14.73355307, 15.97555727, 17.21756148, 18.51236948,
       19.80717749, 21.1019855 , 22.3967935 ]), array([58.25850137, 59.85413094, 61.44976051, 63.04539008, 64.64101964,
       66.23664921, 67.83227878, 69.42790835, 71.02353791, 72.61916748,
       74.21479705, 75.81042662, 77.40605619])]","[[24.721939086914062, 31.912591353279012], [24.840084075927734, 31.912591353279012], [25.896160125732422, 31.912591353279012]]",31.912591416724307,35,400.0,0.9944077216041243,train,0.6197393245850501,1,"[1, 2, 2, 1]",pre
"[130.64, 130.69, 130.74, 130.79, 130.84, 130.89, 130.94, 130.99, 131.04, 131.08999999999997, 131.14, 131.19, 131.23999999999998, 131.29, 131.33999999999997, 131.39, 131.44]","[array([40.81361736, 42.20506958, 43.59652179, 44.98797401, 46.37942623,
       47.77060989, 49.16179355, 50.55297722, 51.94416088, 53.33571151,
       54.72726215, 56.11881279, 57.51036342, 58.90207485, 60.29378628,
       61.6854977 , 63.07720913]), array([60.91780746, 62.59876976, 64.27973205, 65.96069435, 67.64165665,
       69.32261894, 71.00358124, 72.68454353, 74.36550583, 76.04646812,
       77.72743042, 79.40839271, 81.08935501, 82.7703173 , 84.4512796 ,
       86.13224189, 87.81320419])]","[[27.829044342041016, 33.619245904294324], [27.823673248291016, 33.619245904294324], [27.831012725830078, 33.619245904294324], [27.834228515625, 33.619245904294324]]",33.619245904294324,16,500.0,1.309701453068483,train,0.6197393245850501,1,"[1, 2, 2, 1]",pre
"[496.84, 496.89, 496.93999999999994, 496.98999999999995, 497.03999999999996, 497.09, 497.14, 497.19, 497.24, 497.29, 497.34000000000003, 497.39, 497.44, 497.49, 497.53999999999996, 497.59, 497.64]","[array([32.92039697, 33.82981336, 34.73922975, 35.64864614, 36.55806253,
       37.46800096, 38.37793939, 39.28787782, 40.19781625, 41.09619672,
       41.99457719, 42.89295766, 43.79133813, 44.70894868, 45.62655923,
       46.54416978, 47.46178033]), array([53.80017695, 54.71134562, 55.6225143 , 56.53368297, 57.44485164,
       58.35510592, 59.26536021, 60.1756145 , 61.08586879, 61.98439708,
       62.88292537, 63.78145366, 64.67998195, 65.59809871, 66.51621547,
       67.43433223, 68.35244899]), array([60.06827863, 61.25182984, 62.43538104, 63.61893224, 64.80248344,
       65.98603464, 67.16958584, 68.35313704, 69.53668824, 70.72023944,
       71.90379065, 73.08734185, 74.27089305, 75.45444425, 76.63799545,
       77.82154665, 79.00509785])]","[[18.18832778930664, 18.223373413085938, 23.671024022217626], [18.198768615722656, 18.20508575439453, 23.671024022217626], [17.967609405517578, 17.970565795898438, 23.671024022217626], [18.352210998535156, 18.362335205078125, 23.671024022217626]]",23.671022130118,103,500.0,0.5045611681174828,train,0.6197393245850501,1,"[1, 2, 2, 1]",pre
"[291.64, 291.69, 291.74, 291.78999999999996, 291.84, 291.89, 291.94, 291.99, 292.04, 292.09000000000003, 292.14, 292.19, 292.24, 292.29, 292.34000000000003, 292.39, 292.44, 292.49, 292.53999999999996, 292.59, 292.64]","[array([19.85343535, 21.68953898, 23.52564261, 25.36174624, 27.19784987,
       29.02481024, 30.85177062, 32.67873099, 34.50569136, 36.36554415,
       38.22539694, 40.08524974, 41.94510253, 43.78236659, 45.61963065,
       47.45689471, 49.29415877, 51.1355757 , 52.97699263, 54.81840956,
       56.65982649]), array([48.19389501, 49.85785421, 51.52181341, 53.18577261, 54.8497318 ,
       56.513691  , 58.1776502 , 59.8416094 , 61.5055686 , 63.16952779,
       64.83348699, 66.49744619, 68.16140539, 69.82536459, 71.48932379,
       73.15328298, 74.81724218, 76.48120138, 78.14516058, 79.80911978,
       81.47307897])]","[[36.72207260131836, 33.27918396193897], [36.539207458496094, 33.27918396193897], [37.19705581665039, 33.27918396193897], [36.74528121948242, 33.27918396193897], [36.828338623046875, 33.27918396193897]]",34.11909568875076,34,500.0,0.7477161684127398,train,0.6197393245850501,1,"[1, 2, 2, 1]",pre
