t_list,x_list,v_list,v0,n_scn,iter,mse,type,mse_mean,N. file,DOE,processed
"[239.44, 239.49, 239.54, 239.58999999999997, 239.64, 239.69, 239.74, 239.79, 239.84, 239.89, 239.94, 239.99, 240.04, 240.09, 240.14, 240.19, 240.24]","[array([39.95957801, 42.00233943, 44.04510085, 46.08786228, 48.1306237 ,
       49.99595783, 51.86129196, 53.72662608, 55.59196021, 57.19969833,
       58.80743644, 60.41517455, 62.02291267, 63.51747463, 65.01203658,
       66.50659854, 68.0011605 ]), array([61.26865033, 62.5399694 , 63.81128847, 65.08260754, 66.35392661,
       67.62524568, 68.89656476, 70.16788383, 71.4392029 , 72.71052197,
       73.98184104, 75.25316011, 76.52447918, 77.79579825, 79.06711733,
       80.3384364 , 81.60975547])]","[[40.855228424072266, 25.426381425217333], [37.30668258666992, 25.426381425217333], [32.154762268066406, 25.426381425217333], [29.891239166259766, 25.426381425217333]]",25.42638142453009,28,500.0,1.6110717045697704,train,19.58687485932321,1,"[1, 2, 1]",pre
"[310.84, 310.89, 310.93999999999994, 310.98999999999995, 311.03999999999996, 311.09, 311.14, 311.18999999999994, 311.23999999999995]","[array([57.56243538, 59.36935276, 61.17627014, 62.98318753, 64.79010491,
       66.52087845, 68.251652  , 69.98242554, 71.71319908]), array([74.62191372, 76.03890745, 77.45590117, 78.8728949 , 80.28988862,
       81.70688235, 83.12387607, 84.5408698 , 85.95786352])]","[[36.13834762573242, 28.339874505112395], [34.61547088623047, 28.339874505112395]]",28.33987449095501,40,350.0,0.23581636908437514,train,19.58687485932321,1,"[1, 2, 1]",pre
"[52.84, 52.89, 52.940000000000005, 52.99000000000001, 53.040000000000006, 53.09, 53.14, 53.190000000000005, 53.24, 53.290000000000006, 53.34, 53.39, 53.440000000000005, 53.49, 53.540000000000006, 53.59, 53.64, 53.69, 53.74, 53.790000000000006, 53.84]","[array([46.99583421, 48.46472641, 49.9336186 , 51.40251079, 52.87140298,
       54.25798269, 55.64456239, 57.0311421 , 58.4177218 , 59.76706701,
       61.11641222, 62.46575742, 63.81510263, 65.06569534, 66.31628805,
       67.56688076, 68.81747347, 70.21874633, 71.6200192 , 73.02129207,
       74.42256494]), array([49.60394991, 51.39959103, 53.19523215, 54.99087327, 56.78651439,
       58.5821555 , 60.37779662, 62.17343774, 63.96907886, 65.76471997,
       67.56036109, 69.35600221, 71.15164333, 72.94728444, 74.74292556,
       76.53856668, 78.3342078 , 80.12984892, 81.92549003, 83.72113115,
       85.51677227])]","[[29.377843856811523, 35.912822353566604], [27.73159408569336, 35.912822353566604], [26.98690414428711, 35.912822353566604], [25.01185417175293, 35.912822353566604], [28.02545738220215, 35.912822353566604]]",35.9128223540259,5,500.0,1.2405175294317128,train,19.58687485932321,1,"[1, 2, 1]",pre
"[362.84, 362.89, 362.93999999999994, 362.98999999999995, 363.03999999999996, 363.09, 363.14, 363.19, 363.24, 363.28999999999996, 363.34, 363.39, 363.43999999999994, 363.48999999999995, 363.53999999999996, 363.59, 363.64, 363.69, 363.74, 363.78999999999996, 363.84, 363.89, 363.93999999999994, 363.98999999999995, 364.03999999999996]","[array([ 6.42715625,  6.78766323,  7.14817022,  7.50867721,  7.8691842 ,
       13.87966279, 19.89014138, 25.90061997, 31.91109857, 31.91109875,
       31.91109893, 31.91109911, 31.91109929, 31.91109942, 31.91109956,
       31.9110997 , 31.91109984, 31.9110999 , 31.91109995, 31.9111    ,
       31.91110006, 31.9111001 , 31.91110015, 31.91110019, 31.91110024]), array([57.11438368, 58.61438368, 60.11438368, 61.61438368, 63.11438368,
       64.61438368, 66.11438368, 67.61438368, 69.11438368, 70.61438368,
       72.11438368, 73.61438368, 75.11438368, 76.61438368, 78.11438368,
       79.61438368, 81.11438368, 82.61438368, 84.11438368, 85.61438368,
       87.11438368, 88.61438368, 90.11438368, 91.61438368, 93.11438368])]","[[7.210139751434326, 30.0], [120.2095718383789, 30.0], [3.601202479330823e-06, 30.0], [2.7877929369424237e-06, 30.0], [1.078998025150213e-06, 30.0], [8.905440722628555e-07, 30.0]]",30.31397635975497,53,300.0,36.35185552437526,train,19.58687485932321,1,"[1, 2, 1]",pre
"[444.24, 444.28999999999996, 444.34, 444.39, 444.43999999999994, 444.48999999999995, 444.53999999999996, 444.59, 444.64, 444.69, 444.74, 444.78999999999996, 444.84, 444.89, 444.93999999999994, 444.98999999999995, 445.03999999999996, 445.09, 445.14, 445.19, 445.24]","[array([47.60987183, 48.70084072, 49.79180962, 50.88277851, 51.97374741,
       53.13068987, 54.28763233, 55.44457479, 56.60151726, 57.78951574,
       58.97751423, 60.16551271, 61.3535112 , 62.55300976, 63.75250832,
       64.95200687, 66.15150543, 67.28295876, 68.41441208, 69.5458654 ,
       70.67731873]), array([53.8481793 , 55.27292795, 56.69767661, 58.12242526, 59.54717392,
       60.97192257, 62.39667123, 63.82141988, 65.24616854, 66.67091719,
       68.09566585, 69.5204145 , 70.94516316, 72.36991181, 73.79466047,
       75.21940912, 76.64415778, 78.06890643, 79.49365509, 80.91840374,
       82.34315239])]","[[21.819377899169922, 28.494973095575055], [23.13884925842285, 28.494973095575055], [23.75996971130371, 28.494973095575055], [23.989971160888672, 28.494973095575055], [22.629066467285156, 28.494973095575055]]",28.494973095575055,62,500.0,0.31883534014847775,train,19.58687485932321,1,"[1, 2, 1]",pre
"[307.23999999999995, 307.28999999999996, 307.34, 307.39, 307.44, 307.49, 307.53999999999996, 307.59, 307.64]","[array([55.85629355, 57.32955825, 58.80282294, 60.27608763, 61.74935233,
       63.21516053, 64.68096873, 66.14677693, 67.61258513]), array([72.33364086, 73.72729906, 75.12095726, 76.51461547, 77.90827367,
       79.30193187, 80.69559008, 82.08924828, 83.48290648])]","[[29.465293884277344, 27.873164065567803], [29.316164016723633, 27.873164065567803]]",27.873164065567803,39,500.0,0.09106864713159338,train,19.58687485932321,1,"[1, 2, 1]",pre
"[294.64, 294.69, 294.74, 294.78999999999996, 294.84, 294.89, 294.94, 294.99, 295.04, 295.09000000000003, 295.14, 295.19, 295.24]","[array([ 7.30515684,  8.54906058,  9.79296431, 11.03686804, 12.28077177,
       13.56024575, 14.83971972, 16.11919369, 17.39866766, 18.6502768 ,
       19.90188593, 21.15349507, 22.4051042 ]), array([58.25850137, 59.85413094, 61.44976051, 63.04539008, 64.64101964,
       66.23664921, 67.83227878, 69.42790835, 71.02353791, 72.61916748,
       74.21479705, 75.81042662, 77.40605619])]","[[24.878074645996094, 31.912591353282675], [25.589479446411133, 31.912591353282675], [25.032182693481445, 31.912591353282675]]",31.912591419182473,35,500.0,0.9644890671418488,train,19.58687485932321,1,"[1, 2, 1]",pre
"[130.64, 130.69, 130.74, 130.79, 130.84, 130.89, 130.94, 130.99, 131.04, 131.08999999999997, 131.14, 131.19, 131.23999999999998, 131.29, 131.33999999999997, 131.39, 131.44]","[array([40.81361736, 42.0985186 , 43.38341984, 44.66832107, 45.95322231,
       47.35935472, 48.76548713, 50.17161955, 51.57775196, 53.06464618,
       54.55154041, 56.03843464, 57.52532886, 58.91322798, 60.30112709,
       61.6890262 , 63.07692531]), array([60.91780746, 62.54022239, 64.16263731, 65.78505223, 67.40746715,
       69.02988208, 70.652297  , 72.27471192, 73.89712684, 75.51954177,
       77.14195669, 78.76437161, 80.38678653, 82.00920145, 83.63161638,
       85.2540313 , 86.87644622])]","[[25.69802474975586, 32.448298446765406], [28.122648239135742, 32.448298446765406], [29.737884521484375, 32.448298446765406], [27.75798225402832, 32.448298446765406]]",33.61924590429422,16,500.0,1.144936712701066,train,19.58687485932321,1,"[1, 2, 1]",pre
"[496.84, 496.89, 496.93999999999994, 496.98999999999995, 497.03999999999996, 497.09, 497.14, 497.19, 497.24, 497.29, 497.34000000000003, 497.39, 497.44, 497.49, 497.53999999999996, 497.59, 497.64]","[array([32.92039697, 33.8061754 , 34.69195382, 35.57773225, 36.46351068,
       37.35356481, 38.24361894, 39.13367307, 40.0237272 , 40.90523908,
       41.78675096, 42.66826284, 43.54977472, 44.53740012, 45.52502553,
       46.51265094, 47.50027635]), array([53.80017695, 54.70843463, 55.6166923 , 56.52494998, 57.43320765,
       58.33559089, 59.23797412, 60.14035735, 61.04274058, 61.91651225,
       62.79028392, 63.66405559, 64.53782725, 65.47125239, 66.40467753,
       67.33810267, 68.27152781]), array([60.06827863, 61.25182981, 62.43538099, 63.61893217, 64.80248335,
       65.98603452, 67.1695857 , 68.35313688, 69.53668806, 70.72023924,
       71.90379042, 73.08734159, 74.27089277, 75.45444395, 76.63799513,
       77.82154631, 79.00509748])]","[[17.71556854248047, 18.16515350341797, 23.6710235623543], [17.801082611083984, 18.047664642333984, 23.6710235623543], [17.630237579345703, 17.475433349609375, 23.6710235623543], [19.75250816345215, 18.668502807617188, 23.6710235623543]]",23.671022130118015,103,500.0,0.5017253118668025,train,19.58687485932321,1,"[1, 2, 1]",pre
"[291.64, 291.69, 291.74, 291.78999999999996, 291.84, 291.89, 291.94, 291.99, 292.04, 292.09000000000003, 292.14, 292.19, 292.24, 292.29, 292.34000000000003, 292.39, 292.44, 292.49, 292.53999999999996, 292.59, 292.64]","[array([19.85343535, 21.7573128 , 23.66119025, 25.5650677 , 27.46894515,
       29.40644801, 31.34395087, 33.28145373, 35.21895659, 37.11417296,
       39.00938933, 40.9046057 , 42.79982207, 44.59219153, 46.38456099,
       48.17693045, 49.96929991, 51.62469313, 53.28008635, 54.93547957,
       56.59087279]), array([48.19389501, 49.85785421, 51.52181341, 53.18577261, 54.8497318 ,
       56.513691  , 58.1776502 , 59.8416094 , 61.5055686 , 63.16952779,
       64.83348699, 66.49744619, 68.16140539, 69.82536459, 71.48932379,
       73.15328298, 74.81724218, 76.48120138, 78.14516058, 79.80911978,
       81.47307897])]","[[38.07754898071289, 33.279183961938614], [38.750057220458984, 33.279183961938614], [37.904327392578125, 33.279183961938614], [35.847389221191406, 33.279183961938614], [33.10786437988281, 33.279183961938614]]",34.11909568874903,34,500.0,0.8057635370112306,train,19.58687485932321,1,"[1, 2, 1]",pre
