t_list,x_list,v_list,v0_scn,v0_scn_mean,n_scn,N. file,iter
"[14.240000000000002, 14.290000000000003, 14.340000000000002, 14.39, 14.440000000000001, 14.490000000000002, 14.540000000000001, 14.59, 14.64]","[array([47.39131046, 47.63563118, 47.87995191, 48.12427264, 48.36859336,
       48.4786308 , 48.58866823, 48.69870566, 48.8087431 ]), array([51.39004619, 52.77656476, 54.16308333, 55.54960191, 56.93612048,
       58.57114493, 60.20616938, 61.84119384, 63.47621829]), array([71.53057024, 73.01558263, 74.50059503, 75.98560743, 77.47061983,
       78.95563223, 80.44064463, 81.92565703, 83.41066942])]","[[4.886414527893066, 27.730371475219727, 29.700247973162814], [2.2007486820220947, 32.70048904418945, 29.700247973162814]]","[30, 29.921209272631124, 29.8450449028412, 29.771419345377613, 29.700247973162814]",29.84758429880255,0,1,6
"[23.64, 23.69, 23.740000000000002, 23.790000000000003, 23.840000000000003, 23.890000000000004, 23.940000000000005, 23.990000000000002, 24.040000000000003, 24.090000000000003, 24.14, 24.19, 24.240000000000002, 24.290000000000003, 24.340000000000003, 24.39, 24.44, 24.490000000000002, 24.54, 24.59, 24.64]","[array([39.20354853, 39.6733122 , 40.14307586, 40.61283952, 41.08260318,
       41.61528278, 42.14796239, 42.68064199, 43.2133216 , 43.7975155 ,
       44.38170939, 44.96590329, 45.55009719, 46.15206724, 46.75403729,
       47.35600735, 47.9579774 , 48.43352743, 48.90907746, 49.38462749,
       49.86017753]), array([46.59381456, 47.94261855, 49.29142255, 50.64022655, 51.98903055,
       53.5745222 , 55.16001386, 56.74550552, 58.33099717, 60.05434713,
       61.77769708, 63.50104703, 65.22439699, 67.11143464, 68.9984723 ,
       70.88550996, 72.77254762, 74.40766267, 76.04277772, 77.67789277,
       79.31300782]), array([67.1031215 , 68.61063153, 70.11814156, 71.62565159, 73.13316162,
       74.64067165, 76.14818168, 77.65569171, 79.16320175, 80.67071178,
       82.17822181, 83.68573184, 85.19324187, 86.7007519 , 88.20826193,
       89.71577196, 91.22328199, 92.73079202, 94.23830206, 95.74581209,
       97.25332212])]","[[9.395273208618164, 26.9760799407959, 30.150200619229466], [10.653592109680176, 31.7098331451416, 30.150200619229466], [11.683877944946289, 34.46699905395508, 30.150200619229466], [12.039401054382324, 37.740753173828125, 30.150200619229466], [9.511000633239746, 32.702301025390625, 30.150200619229466]]","[30, 30.039480687304156, 30.077645351698166, 30.114537860612387, 30.150200619229466]",30.076372903768835,1,1,6
"[72.44, 72.49, 72.53999999999999, 72.59, 72.64, 72.69, 72.74000000000001, 72.79, 72.84, 72.89, 72.94, 72.99000000000001, 73.04, 73.09, 73.14000000000001, 73.19000000000001, 73.24000000000001, 73.29, 73.34, 73.39, 73.44]","[array([ 2.73338702,  3.8186271 ,  4.90386718,  5.98910726,  7.07434733,
        8.21186812,  9.34938891, 10.4869097 , 11.62443049, 12.80957425,
       13.99471801, 15.17986176, 16.36500552, 17.56630738, 18.76760924,
       19.9689111 , 21.17021296, 22.34206603, 23.5139191 , 24.68577216,
       25.85762523]), array([24.60125514, 26.26619235, 27.93112956, 29.59606677, 31.26100398,
       32.93386603, 34.60672809, 36.27959014, 37.95245219, 39.49180146,
       41.03115073, 42.5705    , 44.10984927, 45.73482982, 47.35981036,
       48.98479091, 50.60977145, 52.22410461, 53.83843776, 55.45277091,
       57.06710406]), array([57.93441825, 59.4233279 , 60.91223754, 62.40114719, 63.89005684,
       65.37896649, 66.86787614, 68.35678579, 69.84569543, 71.33460508,
       72.82351473, 74.31242438, 75.80133403, 77.29024367, 78.77915332,
       80.26806297, 81.75697262, 83.24588227, 84.73479192, 86.22370156,
       87.71261121])]","[[21.704801559448242, 33.298744201660156, 29.778192965862495], [22.750415802001953, 33.45724105834961, 29.778192965862495], [23.7028751373291, 30.786985397338867, 29.778192965862495], [24.026037216186523, 32.499610900878906, 29.778192965862495], [23.437061309814453, 32.28666305541992, 29.778192965862495]]","[30, 29.941697349840716, 29.885338121353353, 29.83085753381564, 29.778192965862495]",29.88721719417444,2,1,6
"[84.24000000000001, 84.29, 84.34, 84.39000000000001, 84.44000000000001, 84.49000000000001, 84.54, 84.59, 84.64, 84.69, 84.74000000000001, 84.79, 84.84]","[array([21.74922515, 22.07744492, 22.40566469, 22.73388447, 23.06210424,
       23.33129426, 23.60048429, 23.86967431, 24.13886434, 24.36594456,
       24.59302479, 24.82010502, 25.04718524]), array([30.53274927, 32.14171648, 33.75068369, 35.3596509 , 36.96861811,
       38.57453127, 40.18044443, 41.7863576 , 43.39227076, 44.88380852,
       46.37534628, 47.86688404, 49.3584218 ]), array([72.12361339, 73.62040732, 75.11720126, 76.61399519, 78.11078913,
       79.60758306, 81.10437699, 82.60117093, 84.09796486, 85.5947588 ,
       87.09155273, 88.58834667, 90.0851406 ])]","[[6.564395427703857, 32.179344177246094, 29.935878687741333], [5.383800506591797, 32.118263244628906, 29.935878687741333], [4.541604518890381, 29.83075523376465, 29.935878687741333]]","[30, 29.983145519027765, 29.966852854087943, 29.951103277979477, 29.935878687741333]",29.967396067767304,3,1,6
"[131.64, 131.69, 131.74, 131.79, 131.84, 131.89, 131.94, 131.99, 132.04]","[array([29.92533961, 30.03026207, 30.13518453, 30.24010699, 30.34502946,
       30.44193875, 30.53884805, 30.63575735, 30.73266664]), array([32.50621833, 34.02922829, 35.55223826, 37.07524823, 38.5982582 ,
       40.19532164, 41.79238509, 43.38944854, 44.98651198]), array([68.80830847, 70.29843535, 71.78856223, 73.27868912, 74.768816  ,
       76.25894288, 77.74906976, 79.23919664, 80.72932353])]","[[2.098449230194092, 30.4601993560791, 29.802537639860034], [1.9381859302520752, 31.941268920898438, 29.802537639860034]]","[30, 29.948096421073277, 29.897922961443992, 29.84942195046911, 29.802537639860034]",29.89959579456928,4,1,6
"[148.04, 148.08999999999997, 148.14, 148.19, 148.23999999999998, 148.29, 148.33999999999997, 148.39, 148.44]","[array([48.20188876, 49.52655535, 50.85122195, 52.17588854, 53.50055514,
       54.84539042, 56.1902257 , 57.53506098, 58.87989627]), array([61.00463006, 62.29141242, 63.57819478, 64.86497714, 66.1517595 ,
       67.40123384, 68.65070817, 69.90018251, 71.14965684]), array([73.44573965, 74.93065934, 76.41557903, 77.90049872, 79.38541841,
       80.87033809, 82.35525778, 83.84017747, 85.32509716])]","[[26.493331909179688, 25.735647201538086, 29.698393760192815], [26.896705627441406, 24.989486694335938, 29.698393760192815]]","[30, 29.92072188714074, 29.844086378043475, 29.770005385916033, 29.698393760192815]",29.84664148225861,5,1,6
"[161.64, 161.69, 161.74, 161.79, 161.84, 161.89, 161.94, 161.99, 162.04]","[array([28.43130969, 28.8341597 , 29.2370097 , 29.63985971, 30.04270972,
       30.37803582, 30.71336192, 31.04868802, 31.38401412]), array([35.84145807, 37.55421957, 39.26698107, 40.97974256, 42.69250406,
       44.52345118, 46.35439829, 48.1853454 , 50.01629251]), array([66.68112381, 68.21099992, 69.74087603, 71.27075214, 72.80062824,
       74.33050435, 75.86038046, 77.39025657, 78.92013268])]","[[8.057000160217285, 34.25522994995117, 30.597522181605832], [6.706521987915039, 36.61894226074219, 30.597522181605832]]","[30, 30.157060513666867, 30.308885676878308, 30.455650001316126, 30.597522181605832]",30.303823674693426,6,1,6
"[164.04, 164.09, 164.14, 164.19, 164.24, 164.29000000000002, 164.34, 164.39, 164.44, 164.49, 164.54, 164.58999999999997, 164.64]","[array([ 1.67315327,  2.66090265,  3.64865204,  4.63640142,  5.62415081,
        6.94763695,  8.27112308,  9.59460922, 10.91809536, 12.10779262,
       13.29748989, 14.48718715, 15.67688442]), array([29.8673355 , 31.27589549, 32.68445548, 34.09301547, 35.50157546,
       37.28483753, 39.06809959, 40.85136165, 42.63462371, 44.31168651,
       45.98874931, 47.6658121 , 49.3428749 ]), array([69.96041499, 71.47217828, 72.98394156, 74.49570485, 76.00746813,
       77.51923142, 79.0309947 , 80.54275799, 82.05452127, 83.56628456,
       85.07804785, 86.58981113, 88.10157442])]","[[19.754987716674805, 28.171199798583984, 30.235265707644977], [26.469722747802734, 35.66524124145508, 30.235265707644977], [23.7939453125, 33.541255950927734, 30.235265707644977]]","[30, 30.0810950351898, 30.15948690253984, 30.235265707644977, 30.30851855257982]",30.156873239590887,7,1,6
"[215.64, 215.69, 215.74, 215.79, 215.84, 215.89, 215.94, 215.99, 216.04]","[array([ 7.56715783,  8.75885066,  9.95054349, 11.14223632, 12.33392914,
       13.6017804 , 14.86963166, 16.13748292, 17.40533417]), array([33.0153937 , 34.56519629, 36.11499888, 37.66480147, 39.21460406,
       40.82083556, 42.42706706, 44.03329855, 45.63953005]), array([66.04304808, 67.59050032, 69.13795256, 70.6854048 , 72.23285704,
       73.78030928, 75.32776152, 76.87521376, 78.422666  ])]","[[23.8338565826416, 30.996051788330078, 30.949044784538202], [25.357025146484375, 32.124629974365234, 30.949044784538202]]","[30, 30.24945929363149, 30.49060327747521, 30.7237091285241, 30.949044784538202]",30.482563296833803,8,1,6
"[216.64, 216.69, 216.74, 216.79, 216.84, 216.89, 216.94, 216.99, 217.04]","[array([23.00124099, 24.01116035, 25.0210797 , 26.03099906, 27.04091842,
       27.99697482, 28.95303123, 29.90908763, 30.86514403]), array([37.4235057 , 39.59229995, 41.7610942 , 43.92988845, 46.0986827 ,
       48.31086589, 50.52304908, 52.73523227, 54.94741546]), array([68.22328745, 69.75405132, 71.28481518, 72.81557905, 74.34634292,
       75.87710678, 77.40787065, 78.93863452, 80.46939839])]","[[20.198387145996094, 43.375885009765625, 30.61527734070672], [19.12112808227539, 44.2436637878418, 30.61527734070672]]","[30, 30.161727510967737, 30.318064104902952, 30.4691894790405, 30.61527734070672]",30.312851687123576,9,1,6
